release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
93.2,-1.57,53.79,5.69,14,0,1,0.0,1,0,0.08,0.55,0.57,0.96,1,1,0,2,4,0.0,0.0,0.0,94.3,2517,6.7,198,-1
90.6,-1.6,53.84,5.67,8,1,1,0.0,0,0,0.28,0.52,-0.09,1.78,0,0,1,2,4,148.0,91.1,10.0,91.3,2441,6.7,162,-1
90.6,-1.52,53.81,5.65,14,0,1,0.0,2,0,0.5,0.46,1.11,0.34,0,0,0,2,4,0.0,0.0,0.0,91.4,2619,6.7,141,-1
91.2,-1.6,53.84,5.61,14,0,1,0.0,1,0,0.32,0.53,1.36,0.78,0,0,0,2,4,0.0,0.0,0.0,92.2,2620,6.7,173,-1
91.2,-1.68,53.92,5.67,14,1,1,1.0,0,2,0.25,0.52,1.07,2.05,0,0,0,0,4,0.0,0.0,0.0,91.9,2573,6.6,124,-1
91.4,-1.61,53.87,5.59,14,1,1,0.0,0,0,0.24,0.42,1.33,0.28,0,0,1,2,3,0.0,0.0,0.0,91.9,2603,6.6,165,-1
91.7,-1.45,53.67,5.55,14,1,1,0.0,2,1,0.23,0.64,1.82,1.49,0,0,0,2,3,0.0,0.0,0.0,93.0,2609,6.8,146,-1
90.9,-1.62,53.99,5.59,9,1,1,1.0,1,0,0.37,0.17,0.75,2.01,0,0,0,2,3,0.0,0.0,0.0,91.3,2632,6.5,112,-1
92.0,-1.73,53.9,5.54,14,1,1,0.0,0,0,0.21,0.48,1.54,1.13,0,0,0,2,3,0.0,0.0,0.0,92.8,2560,6.6,154,-1
92.8,-1.63,53.92,5.55,14,1,1,0.0,1,2,0.31,0.47,1.51,0.47,0,0,0,0,3,0.0,0.0,0.0,93.8,2626,6.6,149,-1
