pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
FF,96.0,3.14,54.16,5.03,12.0,0,0,0.0,0,2,1.41,0.79,0.16,3.91,0,0,1,0,7,0.0,0.0,0.0,95.7,2540.0,6.3,115.0,1
FF,95.9,2.96,54.18,5.23,1.0,0,0,1.0,0,1,1.34,0.87,-0.64,2.54,0,0,1,0,7,0.0,0.0,0.0,95.8,2418.0,6.3,119.0,1
FF,96.3,3.01,54.33,5.06,5.0,0,0,1.0,0,0,1.59,1.0,-0.23,2.44,0,0,1,0,7,0.0,0.0,0.0,95.5,2567.0,6.2,119.0,1
FF,97.3,3.15,54.24,5.21,3.0,1,0,0.0,2,2,1.23,0.98,0.73,2.89,0,0,0,0,7,180.0,95.7,12.0,97.1,2458.0,6.3,125.0,1
SL,82.4,3.16,54.7,5.25,13.0,1,0,0.0,1,2,-1.73,-0.34,-1.22,0.48,0,0,0,0,7,0.0,0.0,0.0,81.2,2771.0,5.8,286.0,1
SL,82.5,3.11,54.77,5.22,8.0,1,0,1.0,1,1,-1.59,-0.2,-0.13,1.6,0,0,0,0,7,0.0,0.0,0.0,81.5,2809.0,5.7,283.0,1
SL,82.0,3.07,54.53,5.22,13.0,1,0,0.0,0,1,-0.99,-0.14,-1.82,1.89,0,0,0,0,7,0.0,0.0,0.0,81.1,2664.0,6.0,286.0,1
CH,88.3,3.14,53.97,5.04,6.0,1,0,1.0,0,0,1.52,0.15,0.31,2.82,0,0,0,0,7,0.0,0.0,0.0,88.8,2097.0,6.5,91.0,1
SL,84.2,2.9,54.64,5.1,13.0,0,0,1.0,0,2,-1.23,-0.06,-1.92,1.05,0,1,0,2,6,0.0,0.0,0.0,83.2,2726.0,5.9,279.0,1
FF,96.8,3.02,54.2,5.23,5.0,0,0,1.0,0,1,1.07,0.98,-0.16,2.12,0,1,0,2,6,248.0,81.7,52.0,96.5,2518.0,6.3,129.0,1
SL,80.6,2.93,55.05,5.19,6.0,0,0,1.0,0,0,-1.26,-0.17,0.45,2.52,0,1,0,2,6,0.0,0.0,0.0,79.7,2571.0,5.4,284.0,1
SL,85.2,2.97,54.45,5.23,7.0,1,0,1.0,0,2,-0.91,0.01,-0.29,1.95,0,1,0,1,6,0.0,0.0,0.0,84.7,2771.0,6.0,279.0,1
FF,97.5,3.02,53.96,5.37,5.0,1,0,1.0,0,2,1.25,1.12,0.21,2.53,0,1,0,1,6,0.0,0.0,0.0,97.8,2546.0,6.5,129.0,1
FF,96.4,3.05,54.12,5.16,4.0,1,0,1.0,0,1,1.42,0.72,-0.63,2.55,0,1,0,1,6,255.0,93.8,18.0,96.2,2183.0,6.4,113.0,1
FF,95.1,3.08,54.35,5.13,13.0,1,0,1.0,0,0,1.43,0.98,-0.88,2.29,0,1,0,1,6,0.0,0.0,0.0,94.3,2503.0,6.2,121.0,1
FF,95.6,2.97,54.26,5.28,11.0,1,0,0.0,1,1,1.37,1.0,-1.06,2.64,0,0,0,1,6,51.0,88.7,1.0,95.1,2569.0,6.2,123.0,1
FF,94.6,3.04,54.26,5.3,13.0,1,0,1.0,1,0,1.31,1.02,-0.95,2.31,0,0,0,1,6,0.0,0.0,0.0,94.3,2425.0,6.2,125.0,1
FF,93.4,3.08,54.25,5.18,11.0,1,0,0.0,0,0,1.24,1.05,-1.63,3.07,0,0,0,1,6,0.0,0.0,0.0,92.6,2422.0,6.2,127.0,1
CH,87.7,3.16,54.31,4.99,8.0,1,0,0.0,0,0,1.76,0.47,0.01,1.61,0,0,0,0,6,237.0,85.3,54.0,86.8,2069.0,6.2,100.0,1
SL,80.5,3.02,55.02,5.17,5.0,1,0,0.0,2,1,-1.67,-0.44,-0.13,2.41,0,0,0,2,5,249.0,87.6,54.0,78.9,2490.0,5.5,290.0,-1
FF,95.5,2.96,54.2,5.17,11.0,1,0,0.0,1,1,1.05,0.88,-1.24,2.97,0,0,0,2,5,0.0,0.0,0.0,95.6,2433.0,6.3,127.0,-1
FF,94.9,3.13,54.27,5.13,11.0,1,0,0.0,0,1,1.13,0.97,-1.15,2.64,0,0,0,2,5,0.0,0.0,0.0,94.6,2477.0,6.2,127.0,-1
FF,94.7,3.1,54.13,5.07,4.0,1,0,1.0,0,0,1.01,0.9,-0.7,2.91,0,0,0,2,5,0.0,0.0,0.0,94.6,2383.0,6.4,128.0,-1
SL,80.0,3.06,54.95,5.14,14.0,1,0,1.0,3,2,-1.03,-0.22,1.06,2.59,0,0,0,1,5,0.0,0.0,0.0,79.0,2629.0,5.6,290.0,-1
CH,88.8,3.17,54.28,4.94,3.0,1,0,1.0,3,2,1.5,0.03,0.72,2.8,0,0,0,1,5,168.0,73.5,24.0,88.5,2086.0,6.2,86.0,-1
FF,95.5,3.24,54.37,5.06,4.0,1,0,1.0,3,2,1.31,0.95,-0.34,2.46,0,0,0,1,5,188.0,73.2,30.0,95.3,2504.0,6.1,123.0,-1
SL,82.4,2.82,54.65,5.23,13.0,1,0,0.0,2,2,-1.34,-0.02,-1.49,1.34,0,0,0,1,5,0.0,0.0,0.0,81.5,2584.0,5.8,277.0,-1
FF,97.8,3.01,54.25,5.43,2.0,1,0,1.0,2,2,1.25,1.07,-0.04,2.96,0,0,0,1,5,3.0,43.0,-49.0,97.6,2450.0,6.2,128.0,-1
SL,82.7,2.93,54.8,5.22,13.0,1,0,0.0,1,2,-1.03,-0.39,-1.06,0.39,0,0,0,1,5,0.0,0.0,0.0,81.4,2617.0,5.7,298.0,-1
FF,94.9,3.11,54.23,5.21,4.0,1,0,1.0,1,1,1.01,0.8,-0.81,2.62,0,0,0,1,5,0.0,0.0,0.0,95.1,2401.0,6.3,124.0,-1
FF,94.5,3.19,54.47,5.07,7.0,1,0,1.0,1,0,1.16,0.9,-0.46,2.18,0,0,0,1,5,0.0,0.0,0.0,93.8,2328.0,6.0,124.0,-1
CH,88.9,3.06,54.31,4.98,14.0,1,0,0.0,0,0,1.53,0.07,1.53,1.22,0,0,0,1,5,0.0,0.0,0.0,88.6,2077.0,6.2,88.0,-1
FF,94.6,2.99,54.37,5.19,11.0,1,0,0.0,1,1,1.27,1.04,-0.69,3.47,0,0,0,0,5,0.0,0.0,0.0,93.7,2415.0,6.1,126.0,-1
SL,82.4,2.95,54.9,5.22,14.0,1,0,0.0,0,1,-1.06,-0.19,0.03,1.25,0,0,0,0,5,0.0,0.0,0.0,81.1,2547.0,5.6,288.0,-1
SL,80.1,2.94,54.96,5.21,12.0,1,0,1.0,0,0,-1.19,-0.02,0.24,3.18,0,0,0,0,5,0.0,0.0,0.0,78.9,2567.0,5.5,279.0,-1
FF,98.2,3.14,54.51,5.22,2.0,0,0,0.0,0,1,1.17,0.94,-0.25,2.56,0,0,0,2,4,13.0,94.0,-10.0,97.5,2512.0,6.0,126.0,-1
FF,97.6,3.17,54.53,5.1,8.0,0,0,1.0,0,0,1.2,0.89,0.06,2.15,0,0,0,2,4,0.0,0.0,0.0,96.6,2487.0,6.0,123.0,-1
FF,96.6,3.27,54.35,5.06,4.0,1,0,0.0,3,2,1.42,1.09,-0.39,2.63,0,0,0,1,4,0.0,80.0,69.0,96.0,2460.0,6.1,125.0,-1
