pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by
SL,76.7,3.27,54.39,5.38,7.0,1,0,1.0,0,0,-0.87,-0.13,-0.4,2.08,0,1,0,1,2,0.0,0.0,0.0,76.7,2111.0,6.1,315.0,0
SL,77.3,3.21,54.34,5.31,8.0,1,0,1.0,0,0,-1.03,-0.33,-0.2,2.25,0,1,0,0,2,0.0,0.0,0.0,77.0,2223.0,6.2,314.0,0
FF,92.3,2.86,54.23,5.51,1.0,1,0,0.0,0,0,1.19,1.0,-0.68,3.48,0,0,0,0,2,0.0,0.0,0.0,92.3,2302.0,6.3,122.0,0
SL,77.3,3.12,54.58,5.32,4.0,0,0,1.0,0,0,-0.92,-0.24,-0.42,2.1,0,0,0,2,1,0.0,0.0,0.0,76.8,2154.0,5.9,312.0,0
SL,74.5,3.01,54.79,5.26,4.0,1,0,1.0,0,0,-0.93,-0.66,-0.59,2.21,0,0,0,1,1,0.0,0.0,0.0,73.9,2258.0,5.7,313.0,0
FF,94.4,3.1,54.19,5.24,12.0,1,0,0.0,0,0,1.03,0.82,0.98,3.18,0,0,0,0,1,0.0,0.0,0.0,94.6,2316.0,6.3,117.0,0
FF,97.6,2.92,53.83,5.31,13.0,1,0,0.0,0,0,1.15,1.08,-0.97,1.75,0,0,0,1,6,0.0,0.0,0.0,97.7,2399.0,6.7,117.0,0
CH,87.7,3.22,53.79,5.11,8.0,1,0,0.0,0,0,1.55,-0.01,-0.17,2.0,0,0,1,1,6,414.0,109.0,27.0,88.1,1962.0,6.7,89.0,2
SI,92.8,3.17,53.63,5.05,7.0,0,0,1.0,0,0,1.48,0.18,-0.41,2.03,0,0,1,0,6,0.0,0.0,0.0,93.6,2029.0,6.9,108.0,2
CH,85.3,3.1,54.02,5.1,13.0,1,0,0.0,0,0,1.57,-0.12,-0.67,1.48,0,0,0,0,6,0.0,0.0,0.0,85.2,1927.0,6.5,97.0,2
FF,94.2,2.96,53.81,5.39,13.0,1,0,0.0,0,0,0.89,1.36,-2.23,2.28,0,0,0,2,5,0.0,0.0,0.0,93.7,2355.0,6.7,120.0,1
FF,90.1,3.1,53.58,5.43,12.0,1,0,0.0,0,0,1.22,1.02,1.54,3.36,0,0,0,1,5,0.0,0.0,0.0,90.6,2281.0,6.9,114.0,1
SI,91.7,3.06,53.96,5.25,13.0,1,0,0.0,0,0,1.36,0.96,-0.66,1.48,0,0,0,0,5,0.0,0.0,0.0,91.5,2256.0,6.5,113.0,1
CH,87.2,3.23,53.3,5.07,6.0,1,0,0.0,0,0,1.5,-0.25,0.53,2.43,0,0,1,2,4,10.0,88.9,-13.0,88.0,2029.0,7.2,96.0,1
CH,87.0,3.05,53.54,4.91,8.0,1,0,0.0,0,0,1.61,0.13,0.17,2.11,0,0,0,2,4,86.0,85.2,5.0,87.5,1997.0,7.0,87.0,1
SL,76.1,3.07,54.33,5.29,12.0,1,0,0.0,0,0,-0.86,-0.41,1.35,3.19,0,0,0,1,4,0.0,0.0,0.0,75.5,2241.0,6.2,307.0,1
SL,74.6,3.21,54.18,5.37,14.0,1,0,0.0,0,0,-1.01,-0.48,2.45,2.63,0,0,0,0,4,0.0,0.0,0.0,74.2,2133.0,6.3,308.0,1
SI,94.2,3.23,53.5,5.11,14.0,0,0,0.0,0,0,1.63,0.17,1.04,2.3,0,0,1,1,3,0.0,0.0,0.0,95.0,2214.0,7.0,113.0,1
SL,75.8,3.09,53.91,5.41,8.0,1,0,1.0,0,0,-1.01,-0.38,-0.26,2.09,0,0,0,1,3,0.0,0.0,0.0,75.8,2245.0,6.6,313.0,1
FF,92.6,3.31,54.02,5.41,9.0,1,0,1.0,0,0,1.33,0.84,0.73,1.85,0,0,0,0,3,0.0,0.0,0.0,92.6,2335.0,6.5,120.0,1
SL,75.9,3.35,53.94,5.25,9.0,1,0,0.0,0,0,-0.89,-0.55,0.65,1.64,0,0,1,2,2,329.0,89.4,31.0,76.1,2263.0,6.6,307.0,1
FF,94.0,3.03,53.23,5.35,1.0,1,0,0.0,0,0,1.09,0.8,-0.54,2.86,0,0,1,1,2,250.0,78.1,50.0,95.4,2315.0,7.3,117.0,1
FF,94.2,3.01,53.98,5.44,6.0,1,0,1.0,0,0,1.29,0.92,0.28,2.43,0,0,0,1,2,0.0,0.0,0.0,94.3,2341.0,6.5,113.0,1
SL,75.2,3.12,54.51,5.37,9.0,1,0,1.0,0,0,-0.89,-0.44,0.75,1.96,0,0,0,0,2,0.0,0.0,0.0,74.6,2248.0,6.0,313.0,1
CH,85.8,3.24,53.69,5.02,14.0,1,0,1.0,0,0,1.57,-0.15,0.46,1.08,0,0,0,2,1,0.0,0.0,0.0,86.4,1963.0,6.8,94.0,0
CH,85.5,3.16,53.98,5.05,14.0,1,0,0.0,0,0,1.52,-0.27,1.15,1.86,0,0,0,1,1,0.0,0.0,0.0,85.7,2001.0,6.5,115.0,0
FF,92.9,3.01,53.95,5.41,5.0,0,0,1.0,0,0,1.18,0.94,-0.19,2.4,0,0,0,0,1,0.0,0.0,0.0,93.2,2375.0,6.5,120.0,0
FF,95.6,2.92,53.99,5.35,5.0,1,0,1.0,0,0,1.23,0.74,-0.06,2.71,0,0,1,2,5,187.0,70.2,38.0,95.6,2429.0,6.5,117.0,8
