executed,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,SL,2022-09-30,91.3,-1.33,5.79,"deGrom, Jacob",661388,594798,,ball,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,B,,,1,2,2022,0.34,0.24,1.49,2.2,,,,0,5,Bot,,,,,621512,,,6.4306982875505000,-133.06309864563100,-3.838673850914160,2.9736097378234600,22.31576788918710,-28.755185341309100,3.42,1.67,,,,92.8,2566,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.88,,,,,,,,34,4,Slider,2,1,2,1,1,2,2,1,Standard,Standard,157,0,0.037
1,SL,2022-09-30,90.1,-1.52,5.74,"deGrom, Jacob",661388,594798,,ball,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,B,,,0,2,2022,0.36,0.36,1.33,1.61,,,,0,5,Bot,,,,,621512,,,6.336568232728670,-131.27235006315700,-5.207106390940590,3.2253446701275100,21.791602669497700,-27.210956234974900,3.49,1.65,,,,91.3,2627,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,54.01,,,,,,,,34,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,165,0,0.017
1,SL,2022-09-30,90.6,-1.47,5.76,"deGrom, Jacob",661388,594798,,swinging_strike,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,S,,,0,1,2022,0.22,0.41,1.81,1.9,,,,0,5,Bot,,,,,621512,,,7.761366206074420,-131.94863144825500,-4.728583440908140,1.3037001599287300,22.973146711044200,-26.68686209665870,3.6,1.71,,,,91.8,2464,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.97,,,,,,,,34,2,Slider,2,1,2,1,1,2,2,1,Standard,Standard,189,0,-0.046
1,SL,2022-09-30,89.4,-1.53,5.78,"deGrom, Jacob",661388,594798,,swinging_strike,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,S,,,0,0,2022,0.35,0.37,0.99,1.56,,,,0,5,Bot,,,,,621512,,,5.489203279149110,-130.2516872956490,-5.3321345245689700,3.0740617111446400,22.456843426695700,-27.110782322742300,3.6,1.71,,,,90.5,2446,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,54.03,,,,,,,,34,1,Slider,2,1,2,1,1,2,2,1,Standard,Standard,161,0,-0.034
0,SL,2022-09-30,91.6,-1.32,5.81,"deGrom, Jacob",518595,594798,,foul,,,,,9,Travis d'Arnaud called out on strikes.,R,R,R,ATL,NYM,S,,,0,2,2022,0.32,0.24,0.49,2.05,,,,2,4,Bot,,,,,621512,,,3.917133564923180,-133.51666119592000,-4.275426106927610,3.147968282513630,25.1332758703226,-28.655360770837100,3.37,1.49,,,,92.8,2454,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.88,,,,,,,,30,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,170,0,0
1,SL,2022-09-30,92.4,-1.46,5.77,"deGrom, Jacob",518595,594798,,swinging_strike,,,,,9,Travis d'Arnaud called out on strikes.,R,R,R,ATL,NYM,S,,,0,1,2022,0.15,0.59,0.57,1.78,,,,2,4,Bot,,,,,621512,,,4.8595733920465000,-134.60734643449200,-5.76279623568622,1.0253302087680400,24.362895876395600,-24.066196740660700,3.37,1.49,,,,93.6,2401,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.93,,,,,,,,30,2,Slider,2,1,2,1,1,2,2,1,Standard,Standard,207,0,-0.023
1,SL,2022-09-30,94,-1.38,5.79,"deGrom, Jacob",621566,594798,strikeout,foul_tip,,,,,7,Matt Olson strikes out on a foul tip.,R,L,R,ATL,NYM,S,2,,2,2,2022,0.33,0.49,-0.45,2.09,,,,1,4,Bot,,,,,621512,,,1.6784971019094300,-136.96707830168200,-5.0837987293095100,3.930164309747140,25.959519121174100,-25.14128457456740,3.51,1.69,,,,95.2,2457,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.93,,,0,1,0,0,,29,6,Slider,2,1,2,1,1,2,2,1,Infield shift,Standard,190,-0.015,-0.134
1,SL,2022-09-30,94,-1.45,5.71,"deGrom, Jacob",621566,594798,,foul,,,,,8,Matt Olson strikes out on a foul tip.,R,L,R,ATL,NYM,S,,,2,2,2022,0.06,0.41,-0.24,2.13,,,,1,4,Bot,,,,,621512,,,2.9859125619371700,-136.98792301915500,-4.561778284694880,0.22826803086631600,27.286250642579200,-26.298238539638400,3.51,1.69,202,77.3,57,94.9,2701,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.99,,,,,,,,29,5,Slider,2,1,2,1,1,2,2,1,Infield shift,Standard,187,0,0
0,SL,2022-09-30,94.7,-1.5,5.73,"deGrom, Jacob",621566,594798,,ball,,,,,13,Matt Olson strikes out on a foul tip.,R,L,R,ATL,NYM,B,,,1,2,2022,0.03,0.4,-0.8,0.75,,,,1,4,Bot,,,,,621512,,,1.7950374703552800,-137.8068726493910,-8.299945198327560,-0.03159966085643010,28.403727207893100,-25.582065222987900,3.51,1.71,,,,95.5,2606,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.92,,,,,,,,29,4,Slider,2,1,2,1,1,2,2,1,Infield shift,Standard,195,0,0.023
0,SL,2022-09-30,92.9,-1.41,5.84,"deGrom, Jacob",621566,594798,,ball,,,,,3,Matt Olson strikes out on a foul tip.,R,L,R,ATL,NYM,B,,,0,1,2022,0.35,0.37,0.7,3.44,,,,1,4,Bot,,,,,621512,,,4.652445915435560,-135.41424071479000,-1.2875596365259300,3.502321770304970,25.225138803553300,-27.50552665908010,3.4,1.76,,,,94,2542,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,54,,,,,,,,29,2,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,167,0,0.016
1,SL,2022-09-30,92.1,-1.44,5.88,"deGrom, Jacob",621020,594798,strikeout,called_strike,,,,,9,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,2,,2,2,2022,0.07,0.39,0.75,1.68,,606115,,1,3,Bot,,,,,621512,,,5.4488511757990200,-134.07231592473700,-5.714288062259900,-0.26794781627858400,27.70990593787840,-26.496995213560200,3.54,1.69,,,,92.9,2651,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.88,,,0,1,0,0,,23,6,Slider,2,1,2,1,1,2,2,1,Standard,Standard,188,-0.031,-0.286
1,SL,2022-09-30,93.1,-1.58,5.88,"deGrom, Jacob",621020,594798,,ball,,,,,14,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,B,,,1,2,2022,0.14,0.49,0.74,1.16,,606115,,1,3,Bot,,,,,621512,,,5.686627232982730,-135.4030843574370,-7.471311457345150,0.4929575156717090,28.226892110216700,-24.7351245161143,3.53,1.76,,,,93.8,2638,6.6,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.88,,,,,,,,23,5,Slider,2,1,2,1,1,2,2,1,Standard,Standard,192,0,0.03
1,SL,2022-09-30,92.6,-1.49,5.86,"deGrom, Jacob",621020,594798,,swinging_strike,,,,,8,Dansby Swanson called out on strikes.,R,R,R,ATL,NYM,S,,,1,1,2022,0.06,0.34,-0.09,1.75,,606115,,1,3,Bot,,,,,621512,,,3.474541309737960,-134.88287382066400,-5.500181449356280,0.06258713383811800,27.312660415443800,-27.127736706155500,3.54,1.67,,,,93.4,2644,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.96,,,,,,,,23,3,Slider,2,1,2,1,1,2,2,1,Standard,Standard,165,0,-0.082
1,SL,2022-09-30,91.9,-1.4,5.81,"deGrom, Jacob",660670,594798,field_out,hit_into_play,,,,,14,"Ronald Acuna Jr.  grounds out softly, catcher Tomas Nido to first baseman Pete Alonso.   Orlando Arcia to 2nd.",R,R,R,ATL,NYM,X,2,ground_ball,0,0,2022,0.24,0.48,0.66,1.34,,,606115,0,3,Bot,125.83,202.1,,,621512,,,4.7266254054262000,-133.7780254753350,-6.593458846220720,1.98831237972309,26.85484949597120,-25.19059332540550,3.5,1.56,1,53.8,-62,92.6,2693,6.5,661467,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.98,0.266,0.268,0,1,0,0,1,22,1,Slider,2,1,2,1,1,2,2,1,Standard,Standard,188,-0.014,-0.51
