executed,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1,SL,2022-09-18,91.4,-1.69,5.6,"deGrom, Jacob",668804,594798,,swinging_strike,,,,,14,Bryan Reynolds strikes out swinging.,R,L,R,NYM,PIT,S,,,0,0,2022,0.42,0.28,1.1,1.87,,665833,,0,1,Top,,,,,621512,,,6.12834710938584,-133.0181916528020,-4.181507306535440,3.762749188816200,27.597423606737700,-28.150924218453400,3.33,1.56,,,,91.8,2551,6.4,662402,594798,621512,624413,641645,500871,596019,592192,607043,643446,54.07,,,,,,,,2,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,171,0,-0.056
1,SL,2022-09-18,92.3,-1.51,5.58,"deGrom, Jacob",665833,594798,,ball,,,,,14,Oneil Cruz doubles (10) on a sharp line drive to center fielder Brandon Nimmo.,R,L,R,NYM,PIT,B,,,1,2,2022,0.33,0.42,1.85,0.02,,,,0,1,Top,,,,,621512,,,7.847756101051880,-134.02222592409100,-9.215122012242890,2.2170587424736500,30.067871442102200,-25.2262236462924,3.83,1.77,,,,92.4,2584,6.6,662402,594798,621512,624413,641645,500871,596019,592192,607043,643446,53.93,,,,,,,,1,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,187,0,0.037
1,SL,2022-09-13,92.7,-1.39,5.67,"deGrom, Jacob",641684,594798,strikeout,swinging_strike,,,,,14,Michael Hermosillo strikes out swinging.,R,R,R,NYM,CHC,S,2,,2,2,2022,0.44,0.36,0.92,2.18,,,,1,6,Top,,,,,543510,,,4.939314459133250,-135.00681306128100,-4.013454715658380,4.579268199830990,25.084152818796500,-27.11847446845970,3.17,1.48,,,,93.4,2634,6.3,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.15,,,0,1,0,0,,42,7,Slider,0,3,3,0,3,0,3,0,Standard,Standard,171,0.008,-0.134
1,SL,2022-09-13,93.1,-1.52,5.7,"deGrom, Jacob",641684,594798,,foul,,,,,8,Michael Hermosillo strikes out swinging.,R,R,R,NYM,CHC,S,,,2,2,2022,0.15,0.42,0.12,1.71,,,,1,6,Top,,,,,543510,,,3.9002972396348700,-135.54594041680400,-5.46537646262131,1.0253726817591500,26.957455426322600,-26.001525473327600,3.17,1.48,3,66.3,-37,93.6,2716,6.3,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.16,,,,,,,,42,6,Slider,0,3,3,0,3,0,3,0,Standard,Standard,181,0,0
1,SL,2022-09-13,92.2,-1.32,5.72,"deGrom, Jacob",641684,594798,,ball,,,,,14,Michael Hermosillo strikes out swinging.,R,R,R,NYM,CHC,B,,,1,2,2022,0.36,0.42,1.7,1.73,,,,1,6,Top,,,,,543510,,,6.94303024338597,-134.19550785686300,-5.326746815639430,3.0454299477023700,25.61767731765620,-26.158116272156,3.12,1.48,,,,93.3,2721,6.7,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.84,,,,,,,,42,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,138,0,0.023
0,SL,2022-09-13,94.5,-1.41,5.65,"deGrom, Jacob",641684,594798,,ball,,,,,14,Michael Hermosillo strikes out swinging.,R,R,R,NYM,CHC,B,,,0,2,2022,0.14,0.54,1.76,2.04,,,,1,6,Top,,,,,543510,,,7.9423900333444300,-137.3663823866050,-4.939176681269510,0.14944420137588900,29.20029772483760,-24.44765512329360,3.07,1.48,,,,94.8,2556,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.05,,,,,,,,42,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,171,0,0.011
1,SL,2022-09-13,92,-1.47,5.61,"deGrom, Jacob",614177,594798,field_out,hit_into_play,,,,,9,"Franmil Reyes grounds out, third baseman Eduardo Escobar to first baseman Pete Alonso.",R,R,R,NYM,CHC,X,5,ground_ball,0,1,2022,0.37,0.36,0.42,2.3,,,,2,5,Top,96.42,159.7,,,543510,,,4.000142593323290,-134.15262600491300,-3.462654492481860,3.797746308506100,24.747537816157200,-27.273527138072400,3.65,1.69,88,106.6,4,93.1,2534,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.03,0.574,0.54,0,1,0,0,4,37,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,145,0.005,-0.082
1,SL,2022-09-13,93.8,-1.51,5.57,"deGrom, Jacob",614177,594798,,foul,,,,,9,"Franmil Reyes grounds out, third baseman Eduardo Escobar to first baseman Pete Alonso.",R,R,R,NYM,CHC,S,,,0,0,2022,0.19,0.38,0.8,1.58,,,,2,5,Top,,,,,543510,,,5.564077620784220,-136.61568036362500,-5.554921683158100,1.332724814181440,26.256817114069400,-26.445592610674700,3.65,1.69,1,67.7,-67,94.9,2724,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.93,,,,,,,,37,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,175,0,-0.017
1,SL,2022-09-13,93.2,-1.45,5.61,"deGrom, Jacob",673548,594798,strikeout,swinging_strike,,,,,14,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,2,,0,2,2022,0.31,0.38,0.84,1.63,,,,1,5,Top,,,,,543510,,,5.223043215993310,-135.71802645859400,-5.423775111079130,2.9600172272253900,24.464977895219600,-26.62149902946650,3.08,1.4,,,,94.1,2732,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.13,,,0,1,0,0,,36,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,178,0.009,-0.1
1,SL,2022-09-13,92.9,-1.4,5.65,"deGrom, Jacob",673548,594798,,swinging_strike,,,,,14,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,,,0,1,2022,0.24,0.42,0.86,1.65,,,,1,5,Top,,,,,543510,,,5.278675961707400,-135.3040201278910,-5.504715654087120,2.040422911838610,23.39625951704110,-26.174589419681800,3.08,1.4,,,,94,2658,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.05,,,,,,,,36,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,209,0,-0.031
1,SL,2022-09-13,92.4,-1.55,5.52,"deGrom, Jacob",673548,594798,,called_strike,,,,,6,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,,,0,0,2022,-0.01,0.4,0.7,2.19,,,,1,5,Top,,,,,543510,,,5.810796379033080,-134.63318983006300,-3.6764503109587800,-1.2173844224010200,25.02571528307990,-26.702613487692800,3.09,1.4,,,,93.6,2589,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.89,,,,,,,,36,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,194,0,-0.024
1,SL,2022-09-13,91.6,-1.59,5.68,"deGrom, Jacob",623520,594798,field_out,hit_into_play,,,,,8,David Bote pops out to catcher James McCann in foul territory.,R,R,R,NYM,CHC,X,2,popup,0,0,2022,0.13,0.57,-0.06,1.55,,641684,621550,2,4,Top,115.81,211.82,,,543510,,,3.6115130942468900,-133.4149288681910,-5.839812220312070,0.8019000993178400,26.54213729185220,-24.3208726188225,3.34,1.57,52,71.4,88,92,2404,6.3,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.19,0,0,0,1,0,0,3,31,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,209,0.024,-0.446
1,SL,2022-09-13,91.4,-1.34,5.65,"deGrom, Jacob",663845,594798,,foul,,,,,9,Alfonso Rivas flies out to center fielder Brandon Nimmo.,R,L,R,NYM,CHC,S,,,1,2,2022,0.4,0.44,0.29,1.61,,641684,621550,1,4,Top,,,,,543510,,,3.282473548692220,-133.2010286652910,-5.37235107785147,4.198011227606890,23.400948907302100,-26.09538031361850,3.16,1.45,5,95.9,-18,92.4,2672,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.13,,,,,,,,30,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,172,0,0
1,SL,2022-09-13,92.6,-1.56,5.57,"deGrom, Jacob",663845,594798,,swinging_strike,,,,,8,Alfonso Rivas flies out to center fielder Brandon Nimmo.,R,L,R,NYM,CHC,S,,,1,1,2022,0.39,0.35,0.18,1.82,,641684,621550,1,4,Top,,,,,543510,,,3.634280417079850,-134.9738473550190,-4.619599917026510,4.056452389604480,26.640769103870800,-27.11291157651840,3.16,1.45,,,,93.3,2591,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.07,,,,,,,,30,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,178,0,-0.118
1,SL,2022-09-13,93,-1.55,5.59,"deGrom, Jacob",663845,594798,,swinging_strike,,,,,9,Alfonso Rivas flies out to center fielder Brandon Nimmo.,R,L,R,NYM,CHC,S,,,1,0,2022,0.33,0.58,0.74,1.5,,641684,621550,1,4,Top,,,,,543510,,,5.1773911444141900,-135.4376706566500,-6.069093173664420,3.1098040435024900,26.435297317157700,-23.996890494841300,3.16,1.45,,,,93.9,2648,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.98,,,,,,,,30,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,192,0,-0.089
1,SL,2022-09-13,91.7,-1.47,5.59,"deGrom, Jacob",543228,594798,sac_fly,hit_into_play,,,,,9,Yan Gomes out on a sacrifice fly to right fielder Jeff McNeil.   Franmil Reyes scores.    Ian Happ to 3rd.,R,R,R,NYM,CHC,X,9,fly_ball,0,0,2022,0.47,0.5,0.36,1.71,614177,664023,641684,0,4,Top,199.8,123.4,,,543510,,,3.6505378040754000,-133.62481999932500,-5.116498813687740,4.955346811874580,25.66003651851750,-25.35420869055970,3.05,1.39,261,89.1,44,92.8,2450,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.87,0.009,0.01,0,1,0,0,3,28,1,Slider,0,1,1,0,2,0,2,0,Standard,Standard,176,-0.003,-0.598
1,SL,2022-09-13,90.3,-1.59,5.64,"deGrom, Jacob",641684,594798,sac_bunt,hit_into_play,,,,,3,Michael Hermosillo hits a sacrifice bunt.   Throwing error by catcher James McCann.   Franmil Reyes to 3rd.    Ian Happ to 2nd.    Michael Hermosillo to 1st.,R,R,R,NYM,CHC,X,2,ground_ball,0,2,2022,0.33,0.37,0.45,2.93,,614177,664023,0,4,Top,127.57,198.86,,,543510,,,4.390714343623370,-131.5481419808340,-1.6310800990648300,2.970239118816830,26.975184514135900,-27.703891071260000,3.17,1.48,0,45.9,-82,90.6,2523,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.15,0.149,0.134,0.9,0,0,0,1,27,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,158,-0.071,0.219
1,SL,2022-09-13,90.6,-1.58,5.61,"deGrom, Jacob",542364,594798,,foul_bunt,,,,,14,Michael Hermosillo hits a sacrifice bunt.   Throwing error by catcher James McCann.   Franmil Reyes to 3rd.    Ian Happ to 2nd.    Michael Hermosillo to 1st.,R,L,R,NYM,CHC,S,,,0,0,2022,0.28,0.48,1.2,1.82,,614177,664023,0,4,Top,,,,,543510,,,6.348435946610650,-131.91498121945200,-4.677432637501370,2.1605271939002900,24.16341260213690,-25.798416712131600,3.33,1.59,1,,,91.4,2492,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.07,,,,,,,,27,1,Slider,0,1,1,0,1,0,1,0,Infield shift,Standard,178,0,-0.082
1,SL,2022-09-13,91,-1.49,5.58,"deGrom, Jacob",614177,594798,,swinging_strike,,,,,14,Franmil Reyes singles on a line drive to right fielder Jeff McNeil.,R,R,R,NYM,CHC,S,,,0,1,2022,0.37,0.48,1.24,0.93,,,,0,4,Top,,,,,543510,,,6.073081490769860,-132.35797101827500,-6.860517345301710,3.1374114345017900,26.444787144757500,-25.266805367994200,3.65,1.69,,,,91.4,2580,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.1,,,,,,,,25,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,188,0,-0.046
1,SL,2022-09-13,91.3,-1.44,5.59,"deGrom, Jacob",673548,594798,,called_strike,,,,,14,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,,,1,0,2022,0.52,0.34,1.02,1.84,,,,2,3,Top,,,,,543510,,,5.088838009824530,-132.95192881425200,-4.35274212419435,5.22068148899163,26.064563116376500,-27.455721130935900,3.16,1.42,,,,92,2707,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.02,,,,,,,,19,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,182,0,-0.021
1,SL,2022-09-13,91.8,-1.41,5.64,"deGrom, Jacob",656716,594798,strikeout,swinging_strike,,,,,14,Zach McKinstry strikes out swinging.,R,L,R,NYM,CHC,S,2,,1,2,2022,0.43,0.18,0.65,1.4,,,,1,3,Top,,,,,543510,,,4.2919882276251400,-133.67086213840900,-5.37352669831488,4.389899999254420,25.598876553945400,-29.092824698574200,3.23,1.59,,,,92.6,2594,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.99,,,0,1,0,0,,18,5,Slider,0,1,1,0,1,0,1,0,Standard,Standard,188,0.016,-0.112
1,SL,2022-09-13,91.3,-1.43,5.55,"deGrom, Jacob",621550,594798,,ball,,,,,9,Patrick Wisdom called out on strikes.,R,R,R,NYM,CHC,B,,,0,1,2022,0.37,0.45,0.81,1.76,,,543228,1,2,Top,,,,,543510,,,4.895799309630940,-133.04673878037400,-4.774290318760980,3.529619079599320,23.643633186046000,-26.029119196514100,3.5,1.57,,,,92.5,2528,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.93,,,,,,,,12,2,Slider,0,1,1,0,1,0,1,0,Standard,Standard,184,0,0.031
1,SL,2022-09-13,90.8,-1.4,5.55,"deGrom, Jacob",543228,594798,force_out,hit_into_play,,,,,14,"Yan Gomes grounds into a force out, third baseman Eduardo Escobar to second baseman Luis Guillorme.   Rafael Ortega out at 2nd.    Yan Gomes to 1st.",R,R,R,NYM,CHC,X,5,ground_ball,1,2,2022,0.34,0.32,0.86,1.34,,,542364,0,2,Top,107.94,166.37,,,543510,,,4.961024591853150,-132.3108735728820,-5.462486041686160,3.1034516053112700,24.389914225765900,-27.49229357682100,3.05,1.39,5,72.2,-16,92,2521,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.85,0.06,0.061,0,1,0,0,2,11,6,Slider,0,1,1,0,1,0,1,0,Standard,Standard,178,0.03,-0.406
0,SL,2022-09-13,93.3,-1.44,5.57,"deGrom, Jacob",543228,594798,,blocked_ball,,,,,14,"Yan Gomes grounds into a force out, third baseman Eduardo Escobar to second baseman Luis Guillorme.   Rafael Ortega out at 2nd.    Yan Gomes to 1st.",R,R,R,NYM,CHC,B,,,0,2,2022,0.2,0.51,1.63,0.67,,,542364,0,2,Top,,,,,543510,,,7.454338518065100,-135.60292970699000,-8.052037150878920,1.0897049498544300,25.22992399296260,-24.503645674315700,3.09,1.39,,,,94,2642,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.04,,,,,,,,11,5,Slider,0,1,1,0,1,0,1,0,Standard,Standard,194,0,0.042
0,SL,2022-09-13,90.7,-1.44,5.6,"deGrom, Jacob",543228,594798,,foul,,,,,5,"Yan Gomes grounds into a force out, third baseman Eduardo Escobar to second baseman Luis Guillorme.   Rafael Ortega out at 2nd.    Yan Gomes to 1st.",R,R,R,NYM,CHC,S,,,0,2,2022,0.22,0.25,-0.05,2.41,,,542364,0,2,Top,,,,,543510,,,3.0139671508744100,-132.1951762159580,-2.6415356804370900,1.9791524847515900,27.4740175969843,-28.882956793365700,3.05,1.39,7,81.3,-19,91.5,2549,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.87,,,,,,,,11,4,Slider,0,1,1,0,1,0,1,0,Standard,Standard,166,0,0
1,SL,2022-09-13,91.5,-1.45,5.65,"deGrom, Jacob",664023,594798,,foul,,,,,8,Ian Happ homers (17) on a fly ball to right field.,R,L,R,NYM,CHC,S,,,3,2,2022,0.41,0.32,-0.13,2.12,,,,0,2,Top,,,,,543510,,,2.458445263371130,-133.48966938853300,-3.900683515848820,4.514031494305500,22.3627424061423,-27.835457730361900,3.5,1.62,,,,92.7,2608,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.11,,,,,,,,9,6,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,150,0,0
0,SL,2022-09-13,92.7,-1.39,5.67,"deGrom, Jacob",664023,594798,,ball,,,,,14,Ian Happ homers (17) on a fly ball to right field.,R,L,R,NYM,CHC,B,,,2,2,2022,0.28,0.36,1.41,0.15,,,,0,2,Top,,,,,543510,,,6.565399606229100,-134.74983557532500,-9.170010040316550,2.1291182537234900,26.025006058751400,-26.128472699785000,3.47,1.62,,,,93.4,2686,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.98,,,,,,,,9,5,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,178,0,0.103
1,SL,2022-09-13,92.5,-1.59,5.63,"deGrom, Jacob",664023,594798,,ball,,,,,14,Ian Happ homers (17) on a fly ball to right field.,R,L,R,NYM,CHC,B,,,1,2,2022,0.24,0.26,1.12,0.38,,,,0,2,Top,,,,,543510,,,6.39759912693726,-134.52406926233500,-8.231733270741520,1.6882531036066200,25.808117860029000,-27.523062854781800,3.55,1.62,,,,93.1,2663,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.07,,,,,,,,9,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,163,0,0.037
1,SL,2022-09-13,92,-1.28,5.66,"deGrom, Jacob",614177,594798,strikeout,swinging_strike,,,,,9,Franmil Reyes strikes out swinging.,R,R,R,NYM,CHC,S,2,,2,2,2022,0.42,0.3,0.4,1.77,,,,2,1,Top,,,,,543510,,,3.362841355479390,-134.13628823494800,-4.844939556400310,4.615502369598690,23.024276031198200,-27.861380019752100,3.65,1.69,,,,93.4,2694,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.95,,,0,1,0,0,,3,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,133,0.01,-0.083
0,SL,2022-09-13,93.4,-1.35,5.62,"deGrom, Jacob",614177,594798,,ball,,,,,14,Franmil Reyes strikes out swinging.,R,R,R,NYM,CHC,B,,,1,2,2022,0.44,0.39,1.77,1.28,,,,2,1,Top,,,,,543510,,,7.073187519791910,-135.89297974820700,-6.4135112799876700,4.284645887644260,24.46407202496890,-26.203982398290700,3.64,1.69,,,,94.5,2729,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.98,,,,,,,,3,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,153,0,0.014
1,SL,2022-09-13,93.1,-1.44,5.59,"deGrom, Jacob",614177,594798,,swinging_strike,,,,,14,Franmil Reyes strikes out swinging.,R,R,R,NYM,CHC,S,,,1,1,2022,0.3,0.38,1.36,0.97,,,,2,1,Top,,,,,543510,,,6.546291702640370,-135.5307564728210,-7.095197624267910,2.697304981145040,23.010511978293100,-26.319994844207700,3.65,1.69,,,,94.3,2628,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.05,,,,,,,,3,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,172,0,-0.023
1,SL,2022-09-13,92.5,-1.46,5.66,"deGrom, Jacob",673548,594798,strikeout,swinging_strike,,,,,14,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,2,,1,2,2022,0.34,0.3,0.67,1.15,,,,1,1,Top,,,,,543510,,,4.710621264766890,-134.67008187388200,-6.462813227295090,3.3019488260086300,25.617138302133,-27.429873916450000,3.08,1.4,,,,93.5,2772,6.6,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.91,,,0,1,0,0,,2,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,144,0.015,-0.112
1,SL,2022-09-13,91.7,-1.46,5.69,"deGrom, Jacob",673548,594798,,called_strike,,,,,9,Seiya Suzuki strikes out swinging.,R,R,R,NYM,CHC,S,,,0,0,2022,0.26,0.39,0.5,1.39,,,,1,1,Top,,,,,543510,,,4.406474239986270,-133.4953205738910,-5.958079993225050,2.332041128220240,24.74211714127180,-26.542378852168300,3.08,1.39,,,,92.5,2534,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.07,,,,,,,,2,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,172,0,-0.024
0,SL,2022-09-13,91.4,-1.42,5.68,"deGrom, Jacob",656716,594798,field_out,hit_into_play,,,,,5,Zach McKinstry flies out to left fielder Mark Canha.,R,L,R,NYM,CHC,X,7,fly_ball,3,2,2022,0.34,0.35,0.1,2.58,,,,0,1,Top,65.93,139.55,,,543510,,,3.0936625789897400,-133.2194243338040,-2.825402338886680,3.562873143132820,23.07175725098570,-27.632469821625700,3.23,1.59,211,77,53,92.4,2612,6.4,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,54.14,0.083,0.092,0,1,0,0,3,1,8,Slider,0,0,0,0,0,0,0,0,Standard,Standard,153,0.022,-0.299
1,SL,2022-09-13,91.8,-1.43,5.69,"deGrom, Jacob",656716,594798,,foul,,,,,9,Zach McKinstry flies out to left fielder Mark Canha.,R,L,R,NYM,CHC,S,,,3,2,2022,0.51,0.3,0.47,2.02,,,,0,1,Top,,,,,543510,,,3.730268936687770,-133.8294215904410,-4.2421585588354500,5.579223413236560,23.138045542908700,-27.950466268530100,3.23,1.59,3,89,-31,93.1,2626,6.5,662430,594798,543510,624413,641645,500871,596019,592192,607043,643446,53.99,,,,,,,,1,7,Slider,0,0,0,0,0,0,0,0,Standard,Standard,157,0,0
0,SL,2022-09-07,93.6,-1.61,5.55,"deGrom, Jacob",669261,594798,,swinging_strike,,,,,14,"Jack Suwinski grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",R,L,R,PIT,NYM,S,,,2,1,2022,0.15,0.34,0.82,0.97,,,,2,7,Bot,,,,,543510,,,5.9843118123758100,-136.29481041437900,-6.97580558955808,0.806119826364724,25.80746967742530,-26.706051495011500,3.5,1.61,,,,95,2502,6.7,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.77,,,,,,,,63,4,Slider,0,9,0,9,9,0,0,9,Infield shift,Standard,182,0,-0.031
1,SL,2022-09-07,92.9,-1.48,5.66,"deGrom, Jacob",663647,594798,,foul,,,,,14,"Ke'Bryan Hayes grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",R,R,R,PIT,NYM,S,,,1,2,2022,0.28,0.39,0.84,1.47,,,,1,7,Bot,,,,,543510,,,5.36912749000855,-135.24672294686400,-5.868117630376880,2.4196655161363500,27.320950508464400,-26.413206911260800,3.1,1.48,,,,94,2596,6.8,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.73,,,,,,,,62,4,Slider,0,9,0,9,9,0,0,9,Standard,Standard,164,0,0
1,SL,2022-09-07,92.8,-1.56,5.56,"deGrom, Jacob",663647,594798,,ball,,,,,14,"Ke'Bryan Hayes grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",R,R,R,PIT,NYM,B,,,0,2,2022,0.14,0.47,0.69,0.57,,,,1,7,Bot,,,,,543510,,,5.5087121244493700,-134.95411533063200,-8.106696200553800,0.5985702387731660,27.688672825253400,-24.913192197259100,3.22,1.59,,,,93.7,2620,6.7,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.77,,,,,,,,62,3,Slider,0,9,0,9,9,0,0,9,Standard,Standard,190,0,0.011
1,SL,2022-09-07,93.2,-1.57,5.66,"deGrom, Jacob",592325,594798,strikeout,swinging_strike_blocked,,,,,14,Ben Gamel strikes out swinging.,R,L,R,PIT,NYM,S,2,,2,2,2022,0.33,0.48,0.95,0.67,,,,0,7,Bot,,,,,543510,,,5.790269430719330,-135.47070377953300,-8.16332897423216,2.8556481002109300,28.472261160724200,-24.680252856817300,3.27,1.55,,,,94,2543,6.7,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.8,,,0,1,0,0,,61,5,Slider,0,9,0,9,9,0,0,9,Infield shift,Standard,186,-0.001,-0.195
1,SL,2022-09-07,92,-1.61,5.59,"deGrom, Jacob",592325,594798,,swinging_strike,,,,,14,Ben Gamel strikes out swinging.,R,L,R,PIT,NYM,S,,,1,1,2022,0.19,0.57,0.78,0.35,,,,0,7,Bot,,,,,543510,,,5.661146721689990,-133.75205253421100,-8.775607641665470,1.1359802647761700,28.176819945014900,-23.589420307468600,3.27,1.55,,,,92.6,2764,6.7,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.83,,,,,,,,61,3,Slider,0,9,0,9,9,0,0,9,Infield shift,Standard,186,0,-0.054
0,SL,2022-09-07,92.9,-1.56,5.55,"deGrom, Jacob",666801,594798,field_out,hit_into_play,,,,,5,"Rodolfo Castro grounds out, second baseman Jeff McNeil to first baseman Pete Alonso.",R,L,R,PIT,NYM,X,4,ground_ball,2,0,2022,0.34,0.45,-0.23,2.4,,,668804,2,6,Bot,153.09,143.29,,,543510,,,2.693823325448490,-135.45933020012900,-3.4048915373470400,3.6894131032072600,25.05396067656150,-26.113220457272500,3.48,1.64,10,84.4,-13,94.2,2692,6.6,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.93,0.123,0.113,0,1,0,0,2,53,3,Slider,0,7,0,7,7,0,0,7,Strategic,Standard,177,-0.003,-0.295
1,SL,2022-09-07,92.9,-1.6,5.54,"deGrom, Jacob",641511,594798,,swinging_strike,,,,,9,Jason Delay strikes out swinging.,R,R,R,PIT,NYM,S,,,1,1,2022,0.17,0.43,0.64,1.54,,,,0,6,Bot,,,,,543510,,,5.4095306044099700,-135.1820777931980,-5.460386169645480,1.0044192257713300,27.596188931695200,-26.004262752544200,3.33,1.55,,,,93.8,2565,6.7,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.8,,,,,,,,50,3,Slider,0,7,0,7,7,0,0,7,Standard,Standard,146,0,-0.054
1,SL,2022-09-07,93.9,-1.76,5.53,"deGrom, Jacob",641511,594798,,ball,,,,,14,Jason Delay strikes out swinging.,R,R,R,PIT,NYM,B,,,0,1,2022,0.24,0.42,0.8,0.68,,,,0,6,Bot,,,,,543510,,,6.131647884039060,-136.53287395929800,-7.83151727200304,1.8581092818623000,26.839538704809200,-25.53318955645720,3.43,1.59,,,,94.8,2529,6.6,662285,594798,543510,624413,643446,500871,596019,592192,607043,571980,53.89,,,,,,,,50,2,Slider,0,7,0,7,7,0,0,7,Standard,Standard,190,0,0.025
