,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
0,FF,96.9,2.99,54.13,5.0,8.0,0,0,0.0,3,1,1.39,0.77,0.14,1.45,0,0,1,1,8,275.0,104.4,12.0,96.7,2431.0,6.4,116.0,0,3-1
77,FF,95.4,3.29,54.38,5.01,11.0,0,0,0.0,3,1,0.88,1.02,-0.89,3.51,0,1,0,0,6,0.0,0.0,0.0,94.5,2440.0,6.1,135.0,-3,3-1
93,FF,95.6,3.13,54.33,5.06,3.0,1,0,1.0,3,1,1.27,0.71,0.6,3.11,0,0,0,1,5,184.0,79.7,68.0,94.8,2276.0,6.2,115.0,-2,3-1
177,SI,94.4,3.08,54.41,5.03,5.0,1,0,0.0,3,1,1.56,0.59,0.06,2.51,0,0,1,2,5,121.0,101.0,6.0,93.9,2239.0,6.1,107.0,-4,3-1
199,CH,85.9,3.27,54.27,4.96,6.0,1,0,1.0,3,1,1.56,0.41,0.51,2.81,0,0,0,0,4,0.0,0.0,0.0,85.6,2012.0,6.2,100.0,-1,3-1
215,SI,96.8,3.23,54.33,5.07,8.0,1,0,1.0,3,1,1.59,0.51,0.0,1.92,0,0,0,1,3,0.0,0.0,0.0,96.4,2426.0,6.2,104.0,-1,3-1
250,CH,87.3,3.33,54.45,4.97,6.0,1,0,1.0,3,1,1.59,0.26,0.77,2.49,0,0,0,2,1,0.0,0.0,0.0,86.9,2104.0,6.0,95.0,-1,3-1
322,SI,97.2,3.17,54.47,5.22,2.0,1,0,1.0,3,1,1.38,0.27,-0.23,3.11,0,0,1,2,4,0.0,0.0,0.0,96.2,2293.0,6.0,96.0,4,3-1
393,SI,93.8,3.4,54.32,5.2,3.0,1,0,1.0,3,1,1.55,0.41,0.71,2.87,0,0,0,0,6,179.0,73.2,29.0,92.9,2110.0,6.2,100.0,-1,3-1
415,SI,95.3,3.41,54.29,5.2,6.0,1,0,1.0,3,1,1.61,0.13,0.76,2.63,0,0,1,1,4,10.0,41.4,-12.0,94.6,2130.0,6.2,90.0,-1,3-1
454,SI,92.8,3.46,54.14,5.03,6.0,1,0,1.0,3,1,1.65,0.34,0.49,2.41,0,0,0,0,2,0.0,0.0,0.0,92.3,2040.0,6.4,97.0,0,3-1
466,CH,87.9,3.35,54.35,5.16,13.0,1,0,0.0,3,1,1.41,0.84,-1.78,1.83,0,0,1,1,1,0.0,0.0,0.0,86.7,2073.0,6.2,116.0,0,3-1
674,FF,96.2,3.07,54.39,5.65,5.0,1,0,0.0,3,1,1.17,1.55,-0.22,2.47,0,0,0,1,1,181.0,96.8,8.0,95.3,2364.0,6.1,141.0,0,3-1
735,CH,86.1,3.38,54.55,5.31,14.0,1,0,1.0,3,1,1.48,0.33,1.05,2.32,0,0,0,0,4,5.0,54.5,-24.0,85.2,1951.0,6.0,97.0,0,3-1
766,SI,95.9,3.33,54.42,5.43,5.0,1,0,0.0,3,1,1.6,0.73,-0.02,2.59,0,0,0,1,2,319.0,110.8,13.0,95.0,2163.0,6.1,111.0,0,3-1
778,SI,89.5,3.31,54.69,5.17,12.0,1,0,0.0,3,1,1.51,0.64,1.04,2.7,0,0,0,2,1,328.0,86.8,27.0,88.6,2019.0,5.8,109.0,0,3-1
835,FF,95.6,2.79,54.36,5.68,11.0,1,0,0.0,3,1,1.23,1.47,-1.23,2.71,0,1,1,0,2,0.0,0.0,0.0,94.9,2187.0,6.1,137.0,0,3-1
879,SI,95.9,3.32,54.34,5.19,6.0,1,0,0.0,3,1,1.69,0.29,0.77,2.24,0,0,0,2,6,22.0,79.8,-4.0,95.3,2363.0,6.2,96.0,-2,3-1
958,SI,90.3,3.26,53.64,5.22,13.0,1,0,1.0,3,1,1.41,0.15,-0.55,1.36,0,0,0,2,1,0.0,0.0,0.0,91.1,1777.0,6.9,91.0,0,3-1
978,FF,95.0,3.25,54.54,5.27,12.0,1,0,0.0,3,1,1.4,1.14,1.15,3.83,0,0,0,2,7,0.0,0.0,0.0,94.1,2367.0,6.0,126.0,0,3-1
1028,SL,82.0,3.04,55.07,5.49,1.0,1,0,1.0,3,1,-0.94,0.35,-0.29,3.1,0,0,1,2,4,0.0,0.0,0.0,80.3,2259.0,5.4,260.0,0,3-1
1040,FF,95.2,3.21,54.68,5.5,4.0,1,0,1.0,3,1,1.64,1.03,-0.34,2.41,0,0,0,0,4,0.0,0.0,0.0,93.5,2192.0,5.8,119.0,0,3-1
1237,FF,95.5,2.81,54.26,5.73,4.0,1,0,0.0,3,1,1.27,1.2,-0.53,2.42,1,0,0,2,3,238.0,90.2,55.0,95.1,2476.0,6.2,131.0,0,3-1
1280,FF,97.3,3.11,54.6,5.48,4.0,0,0,0.0,3,1,1.37,0.97,-0.4,2.46,1,0,1,0,1,20.0,97.2,-6.0,96.4,2536.0,5.9,122.0,0,3-1
1413,CH,86.4,2.97,54.22,5.26,5.0,1,0,0.0,3,1,1.57,0.25,0.16,2.24,0,0,1,2,6,46.0,101.3,1.0,86.1,2082.0,6.3,94.0,6,3-1
1428,FF,94.6,3.19,54.51,5.57,12.0,1,0,1.0,3,1,1.36,0.85,0.89,3.16,0,0,0,0,6,0.0,0.0,0.0,94.0,2484.0,6.0,118.0,6,3-1
1655,FF,98.0,3.14,54.36,5.22,3.0,0,0,0.0,3,1,1.88,0.82,0.33,2.56,0,0,0,2,1,184.0,74.6,17.0,97.1,2418.0,6.1,111.0,0,3-1
1682,SI,94.1,3.23,54.44,5.37,6.0,1,0,1.0,3,1,1.53,0.16,0.44,2.1,0,0,0,1,6,187.0,70.4,47.0,93.0,2118.0,6.1,91.0,-3,3-1
1731,SL,79.0,3.34,55.06,5.43,7.0,1,0,1.0,3,1,-1.5,-0.33,-0.73,1.61,0,1,0,1,3,0.0,0.0,0.0,76.9,2277.0,5.4,289.0,1,3-1
2012,SI,90.2,2.94,54.76,5.54,12.0,1,0,1.0,3,1,1.09,0.61,0.86,2.98,0,0,0,1,9,18.0,78.9,-10.0,89.3,2160.0,5.8,114.0,7,3-1
2079,SL,78.0,2.87,54.94,5.66,12.0,1,0,1.0,3,1,-1.1,-0.26,1.08,2.58,0,1,0,2,3,0.0,0.0,0.0,77.0,2403.0,5.5,292.0,0,3-1
2236,CH,87.3,3.27,54.41,5.37,2.0,1,0,1.0,3,1,1.36,0.66,-0.1,2.95,0,1,0,2,6,0.0,0.0,0.0,86.8,1728.0,6.1,111.0,0,3-1
2361,CH,84.5,3.41,54.73,4.97,14.0,1,0,1.0,3,1,2.43,0.43,0.93,1.72,1,0,0,2,4,0.0,0.0,0.0,82.9,2115.0,5.8,96.0,0,3-1
2370,FF,94.9,3.39,54.5,5.35,6.0,1,0,0.0,3,1,1.49,0.88,0.8,2.87,0,0,0,1,4,309.0,86.8,28.0,94.0,2308.0,6.0,117.0,0,3-1
2434,CH,88.9,3.54,54.73,5.23,13.0,1,0,0.0,3,1,1.5,0.68,-0.54,1.27,0,1,0,1,1,0.0,0.0,0.0,87.6,2095.0,5.8,110.0,2,3-1
2513,CH,87.4,3.32,54.36,5.02,5.0,1,0,1.0,3,1,1.19,1.03,-0.27,2.39,0,0,1,2,2,0.0,0.0,0.0,86.5,2140.0,6.1,127.0,4,3-1
2531,CH,90.1,3.25,54.44,5.24,7.0,1,0,1.0,3,1,1.1,0.61,-0.74,1.97,0,0,0,0,2,0.0,0.0,0.0,89.4,1999.0,6.1,114.0,4,3-1
2545,SI,94.5,3.24,53.86,5.09,13.0,1,0,0.0,3,1,1.13,0.39,-0.77,1.24,0,0,1,1,1,0.0,0.0,0.0,94.8,2078.0,6.6,104.0,0,3-1
2609,FF,96.2,3.27,54.74,5.56,8.0,0,0,0.0,3,1,1.34,0.86,-0.18,1.94,0,1,0,0,4,2.0,57.5,-44.0,95.0,2211.0,5.8,119.0,1,3-1
2614,SI,94.9,3.41,54.63,5.55,14.0,1,0,0.0,3,1,1.75,0.36,0.73,1.47,0,0,0,0,4,0.0,0.0,0.0,93.9,2202.0,5.9,98.0,1,3-1
2662,CH,84.0,3.32,54.56,5.19,8.0,1,0,1.0,3,1,1.39,0.57,-0.15,1.77,0,0,0,0,7,0.0,0.0,0.0,83.3,1956.0,5.9,107.0,0,3-1
2687,CH,89.7,3.41,54.32,5.07,9.0,1,0,0.0,3,1,1.59,0.03,0.63,2.02,0,0,0,0,6,0.0,90.3,-17.0,89.1,2006.0,6.2,86.0,1,3-1
2693,SL,78.1,3.22,55.14,5.43,14.0,1,0,1.0,3,1,-0.91,-0.39,0.87,2.14,1,0,0,2,5,0.0,0.0,0.0,76.4,2212.0,5.4,302.0,1,3-1
2711,CH,83.2,3.33,54.43,5.23,8.0,1,0,1.0,3,1,1.49,0.23,0.24,1.68,0,0,0,1,5,0.0,0.0,0.0,82.6,1884.0,6.1,93.0,2,3-1
2802,CH,85.3,2.91,53.54,5.45,5.0,1,0,1.0,3,1,1.62,0.2,-0.26,2.19,0,0,0,2,5,0.0,0.0,0.0,86.5,1813.0,7.0,92.0,1,3-1
2823,CH,90.1,2.95,53.72,5.57,5.0,1,0,1.0,3,1,1.49,0.44,0.26,2.39,0,0,0,0,4,304.0,91.9,38.0,90.7,2142.0,6.8,102.0,1,3-1
2894,FF,96.5,3.2,54.39,5.35,11.0,1,0,0.0,3,1,1.3,1.21,-0.93,3.01,1,1,0,1,5,0.0,0.0,0.0,95.4,2362.0,6.1,130.0,1,3-1
2926,FF,94.3,3.35,54.7,5.34,12.0,1,0,1.0,3,1,1.51,1.1,1.34,2.56,0,0,0,2,4,0.0,0.0,0.0,93.0,2282.0,5.8,123.0,3,3-1
2996,FF,93.0,3.22,54.19,5.35,6.0,1,0,1.0,3,1,1.33,0.93,0.36,2.4,0,0,1,0,8,210.0,93.9,14.0,92.6,2131.0,6.3,121.0,3,3-1
3008,SI,96.7,3.41,54.14,5.28,5.0,1,0,1.0,3,1,1.48,0.76,-0.08,2.4,0,0,1,2,7,10.0,44.3,-11.0,96.3,2264.0,6.4,113.0,1,3-1
3036,SI,98.0,3.31,53.88,5.33,8.0,1,0,0.0,3,1,1.63,0.73,-0.01,2.1,0,1,0,2,5,10.0,100.1,-12.0,98.1,2364.0,6.6,111.0,1,3-1
3360,FF,92.1,3.25,54.56,5.46,8.0,1,0,1.0,3,1,1.2,1.16,0.14,1.69,0,0,0,1,4,0.0,0.0,0.0,91.4,2266.0,5.9,131.0,0,3-1
3370,CH,85.9,3.22,53.91,5.03,13.0,1,0,0.0,3,1,1.65,0.51,-0.9,1.35,1,0,1,2,3,0.0,0.0,0.0,86.0,2049.0,6.6,103.0,0,3-1
3379,CH,86.9,3.41,54.34,5.2,5.0,1,0,0.0,3,1,1.65,0.59,0.17,2.31,0,0,1,1,3,152.0,91.3,12.0,86.1,2034.0,6.2,105.0,1,3-1
3388,FF,93.6,3.33,54.53,5.36,9.0,0,0,1.0,3,1,1.36,1.25,0.29,1.99,0,0,0,0,3,0.0,0.0,0.0,92.8,2373.0,6.0,130.0,1,3-1
3422,SL,78.2,3.39,54.86,5.48,13.0,1,0,0.0,3,1,-1.14,-0.24,-0.3,1.18,0,1,0,2,8,0.0,0.0,0.0,76.4,2212.0,5.6,291.0,0,3-1
3498,CH,89.1,3.27,54.3,5.15,3.0,1,0,1.0,3,1,1.53,0.81,0.55,3.05,0,1,0,2,3,0.0,0.0,0.0,88.9,2186.0,6.2,114.0,1,3-1
3609,SI,92.1,3.12,53.85,5.3,7.0,1,0,1.0,3,1,1.45,0.57,-0.49,1.79,0,0,0,1,2,0.0,0.0,0.0,92.4,2049.0,6.6,111.0,0,3-1
