,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
1,SL,78.7,2.75,54.71,5.3,13.0,0,0,0.0,2,1,-1.25,-0.2,-1.5,2.09,0,0,1,1,8,0.0,0.0,0.0,78.0,2392.0,5.8,285.0,0,2-1
8,CH,88.3,3.15,54.47,4.94,5.0,1,0,0.0,2,1,1.68,0.42,0.27,2.21,0,0,0,0,8,368.0,101.3,32.0,87.3,2253.0,6.0,99.0,1,2-1
17,SI,95.9,3.18,54.03,4.92,14.0,1,0,1.0,2,1,1.63,0.28,1.19,2.24,0,0,1,2,7,0.0,0.0,0.0,95.9,2291.0,6.5,96.0,1,2-1
47,SL,80.5,3.02,55.02,5.17,5.0,1,0,0.0,2,1,-1.67,-0.44,-0.13,2.41,0,0,0,2,5,249.0,87.6,54.0,78.9,2490.0,5.5,290.0,-1,2-1
68,SL,83.3,3.11,54.84,5.24,7.0,1,0,1.0,2,1,-1.17,-0.31,-0.76,2.04,0,0,0,1,4,0.0,0.0,0.0,82.3,2695.0,5.7,291.0,-1,2-1
73,SL,81.5,3.18,54.86,5.13,13.0,0,0,1.0,2,1,-1.38,-0.51,-0.09,1.36,0,0,0,0,4,0.0,0.0,0.0,80.3,2711.0,5.6,296.0,-1,2-1
78,SL,79.5,3.11,54.84,5.4,13.0,0,0,0.0,2,1,-1.53,-0.16,-1.77,1.07,0,1,0,0,6,0.0,0.0,0.0,78.1,2528.0,5.7,283.0,-3,2-1
84,CH,89.4,3.09,54.61,5.03,8.0,1,0,1.0,2,1,1.31,0.01,0.02,1.44,0,0,0,0,6,0.0,0.0,0.0,88.3,2057.0,5.9,84.0,-3,2-1
118,FF,93.0,2.94,54.04,5.35,4.0,1,0,0.0,2,1,0.61,1.2,-0.74,2.92,0,0,0,0,4,155.0,57.6,51.0,92.7,2188.0,6.5,151.0,0,2-1
122,SI,92.4,3.02,54.21,5.09,4.0,1,0,0.0,2,1,1.24,0.05,-0.49,1.86,0,0,1,1,3,28.0,102.2,-1.0,91.6,2032.0,6.3,87.0,-1,2-1
158,SI,90.9,3.25,54.1,4.98,9.0,1,0,1.0,2,1,1.33,0.48,0.48,2.12,0,0,0,1,1,64.0,100.4,1.0,90.4,2234.0,6.4,104.0,-2,2-1
178,CH,91.0,3.07,54.34,4.97,14.0,1,0,0.0,2,1,1.7,0.05,1.02,2.01,0,0,1,2,5,0.0,0.0,0.0,90.5,2178.0,6.2,87.0,-4,2-1
200,SI,96.4,3.32,54.56,5.02,14.0,1,0,0.0,2,1,1.62,0.17,1.41,2.35,0,0,0,0,4,0.0,0.0,0.0,95.5,2387.0,5.9,92.0,-1,2-1
216,FF,94.5,3.12,54.48,5.27,13.0,1,0,0.0,2,1,1.24,0.93,-0.92,2.25,0,0,0,1,3,0.0,0.0,0.0,93.8,2418.0,6.0,123.0,-1,2-1
236,SL,81.8,3.2,55.1,5.28,14.0,1,0,1.0,2,1,-0.88,-0.26,1.08,1.98,0,1,0,1,2,0.0,0.0,0.0,80.4,2533.0,5.4,295.0,0,2-1
251,CH,88.7,3.21,54.44,5.0,14.0,1,0,0.0,2,1,1.57,-0.39,1.34,2.05,0,0,0,2,1,0.0,0.0,0.0,88.3,2018.0,6.1,72.0,-1,2-1
270,SL,77.9,3.15,54.97,5.33,4.0,0,0,1.0,2,1,-1.29,-0.42,-0.51,2.85,0,0,0,2,8,0.0,0.0,0.0,76.2,2461.0,5.5,295.0,8,2-1
294,SL,80.9,3.11,55.08,5.42,8.0,1,0,0.0,2,1,-1.17,-0.42,-0.08,1.92,0,0,0,0,7,213.0,90.9,15.0,79.1,2268.0,5.4,297.0,6,2-1
300,SL,81.5,3.15,55.06,5.37,8.0,0,0,1.0,2,1,-1.41,-0.31,-0.16,1.67,0,0,0,1,6,0.0,0.0,0.0,80.0,2514.0,5.4,288.0,6,2-1
346,SI,95.0,3.21,54.5,5.28,6.0,1,0,0.0,2,1,1.75,0.53,0.41,2.47,0,0,0,1,3,356.0,96.8,29.0,94.0,2267.0,6.0,103.0,0,2-1
