,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
94,SI,96.2,3.12,54.4,5.12,6.0,1,0,1.0,3,0,1.57,0.28,0.76,2.39,0,0,0,1,5,0.0,0.0,0.0,95.1,2211.0,6.1,96.0,-2,3-0
323,SI,97.5,3.13,54.45,5.25,14.0,1,0,1.0,3,0,2.02,0.4,0.9,2.1,0,0,1,2,4,0.0,0.0,0.0,96.7,2371.0,6.0,98.0,4,3-0
416,SI,95.8,3.38,54.38,5.19,5.0,1,0,1.0,3,0,1.47,0.08,-0.26,2.65,0,0,1,1,4,0.0,0.0,0.0,94.9,2233.0,6.1,88.0,-1,3-0
462,SI,98.1,3.3,54.22,5.17,12.0,1,0,0.0,3,0,1.67,0.28,1.22,3.14,0,1,1,1,1,0.0,0.0,0.0,97.4,2298.0,6.3,95.0,0,3-0
779,SI,95.1,3.44,54.54,5.31,7.0,1,0,1.0,3,0,1.79,0.15,-0.56,1.71,0,0,0,2,1,0.0,0.0,0.0,94.2,2240.0,6.0,91.0,0,3-0
1107,FF,95.5,3.46,54.23,5.4,14.0,0,0,0.0,3,0,1.04,0.89,1.15,2.46,0,0,0,0,7,0.0,0.0,0.0,94.8,2331.0,6.3,126.0,1,3-0
1266,FF,91.0,3.29,54.61,5.43,12.0,1,0,0.0,3,0,1.3,1.2,1.21,2.53,0,0,0,0,2,0.0,0.0,0.0,90.4,2365.0,5.9,129.0,-3,3-0
1381,FF,92.9,3.22,54.23,5.26,14.0,1,0,0.0,3,0,1.51,1.26,0.52,1.47,0,0,1,2,2,0.0,0.0,0.0,92.7,2365.0,6.3,127.0,1,3-0
1732,SI,95.4,3.29,54.27,5.33,7.0,1,0,1.0,3,0,1.54,0.24,-0.28,2.07,0,0,1,1,3,0.0,0.0,0.0,94.4,2205.0,6.2,94.0,1,3-0
2148,CH,89.2,3.24,54.39,5.36,12.0,1,0,0.0,3,0,1.94,0.85,1.2,3.33,0,0,0,2,6,0.0,0.0,0.0,88.7,1917.0,6.1,110.0,0,3-0
2610,FF,97.3,3.4,54.69,5.7,6.0,0,0,1.0,3,0,1.27,1.07,0.74,2.79,0,1,0,0,4,0.0,0.0,0.0,96.2,2337.0,5.8,127.0,1,3-0
2615,CH,89.5,3.42,54.48,5.48,4.0,1,0,1.0,3,0,1.38,1.11,-0.63,2.54,0,0,0,0,4,0.0,0.0,0.0,88.6,2178.0,6.0,125.0,1,3-0
2663,SI,91.6,3.35,54.77,5.1,14.0,1,0,1.0,3,0,1.45,0.16,1.15,2.06,0,0,0,0,7,0.0,0.0,0.0,90.7,2203.0,5.7,92.0,0,3-0
2824,SI,92.8,2.84,53.53,5.63,6.0,1,0,1.0,3,0,1.65,0.49,0.54,2.64,0,0,0,0,4,0.0,0.0,0.0,93.5,2134.0,7.0,102.0,1,3-0
2895,CH,87.5,3.34,54.54,5.14,6.0,1,0,1.0,3,0,1.79,1.02,0.4,2.62,1,1,0,1,5,211.0,101.1,13.0,86.3,2036.0,6.0,116.0,1,3-0
3013,SI,93.7,3.09,54.54,5.39,13.0,1,0,0.0,3,0,1.62,0.79,-0.95,0.97,0,0,0,2,7,0.0,0.0,0.0,92.6,2281.0,6.0,113.0,1,3-0
3270,FF,92.5,3.49,54.31,5.44,12.0,1,0,0.0,3,0,1.4,1.23,1.77,3.2,0,0,1,1,4,0.0,0.0,0.0,91.5,2209.0,6.2,128.0,0,3-0
3389,CH,89.7,3.36,54.52,5.55,5.0,0,0,1.0,3,0,1.28,1.44,-0.12,2.95,0,0,0,0,3,0.0,0.0,0.0,89.1,2296.0,6.0,136.0,1,3-0
3654,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0,0,1,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3-0
3748,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0,0,0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3-0
