,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
10,SI,88.5,3.27,54.61,4.95,14.0,1,0,1.0,1,0,1.46,0.4,0.95,1.68,0,0,0,0,8,0.0,0.0,0.0,87.3,2232.0,5.9,100.0,1,1-0
44,FF,94.6,3.04,54.26,5.3,13.0,1,0,1.0,1,0,1.31,1.02,-0.95,2.31,0,0,0,1,6,0.0,0.0,0.0,94.3,2425.0,6.2,125.0,1,1-0
58,FF,94.5,3.19,54.47,5.07,7.0,1,0,1.0,1,0,1.16,0.9,-0.46,2.18,0,0,0,1,5,0.0,0.0,0.0,93.8,2328.0,6.0,124.0,-1,1-0
70,FF,95.8,3.23,54.47,5.1,13.0,1,0,0.0,1,0,1.5,1.09,-1.11,1.92,0,0,0,1,4,0.0,0.0,0.0,95.0,2491.0,6.0,123.0,-1,1-0
80,SI,95.6,3.28,54.35,5.0,12.0,0,0,0.0,1,0,1.74,0.19,1.74,2.79,0,1,0,0,6,0.0,0.0,0.0,94.9,2389.0,6.2,92.0,-3,1-0
96,CH,86.6,3.24,54.55,4.96,12.0,1,0,0.0,1,0,1.65,0.4,1.84,2.41,0,0,0,1,5,0.0,0.0,0.0,85.4,2150.0,6.0,98.0,-2,1-0
104,SL,83.0,3.15,54.66,5.25,7.0,1,0,1.0,1,0,-1.58,-0.09,-0.68,2.14,0,1,1,2,4,0.0,0.0,0.0,81.9,2522.0,5.8,278.0,0,1-0
108,SI,89.1,3.21,54.34,4.95,5.0,1,0,1.0,1,0,1.18,0.34,0.08,2.79,0,1,1,1,4,0.0,0.0,0.0,88.5,1863.0,6.2,100.0,0,1-0
148,SL,82.6,3.07,54.67,5.25,9.0,1,0,1.0,1,0,-1.31,-0.5,0.63,1.65,0,0,1,0,2,0.0,0.0,0.0,81.5,2586.0,5.8,297.0,-1,1-0
155,SL,81.3,3.21,54.68,5.23,9.0,1,0,0.0,1,0,-1.59,-0.53,0.78,1.47,0,0,0,2,1,0.0,0.0,0.0,80.1,2451.0,5.8,294.0,-2,1-0
160,FF,95.9,3.04,54.22,5.39,11.0,1,0,1.0,1,0,0.88,0.93,-0.87,3.03,0,0,0,1,1,0.0,0.0,0.0,95.3,2390.0,6.3,133.0,-2,1-0
180,CH,87.0,3.17,54.49,4.97,6.0,1,0,1.0,1,0,1.56,0.44,0.58,2.38,0,0,1,2,5,0.0,0.0,0.0,86.6,2045.0,6.0,101.0,-4,1-0
184,SL,80.4,3.03,54.98,5.16,3.0,1,0,0.0,1,0,-0.65,-0.1,0.49,2.82,0,1,0,2,5,356.0,91.2,29.0,79.4,2439.0,5.5,290.0,-2,1-0
187,FF,96.5,3.2,54.32,5.18,1.0,1,0,1.0,1,0,1.35,0.99,-0.39,3.1,0,0,0,2,5,0.0,0.0,0.0,95.6,2470.0,6.2,123.0,-2,1-0
192,FF,97.5,3.24,54.52,5.23,3.0,1,0,1.0,1,0,1.26,1.03,0.44,2.91,0,0,0,0,5,0.0,0.0,0.0,96.8,2484.0,6.0,126.0,-2,1-0
195,CH,88.6,3.29,54.37,4.96,6.0,1,0,0.0,1,0,1.74,0.46,0.28,2.09,0,0,0,2,4,328.0,88.0,30.0,88.2,2109.0,6.1,101.0,-1,1-0
223,SL,79.7,3.2,54.84,5.32,5.0,1,0,1.0,1,0,-1.74,-0.06,-0.13,2.51,0,0,0,0,3,0.0,0.0,0.0,78.4,2677.0,5.7,278.0,-1,1-0
253,FF,94.6,3.17,54.72,5.23,11.0,1,0,1.0,1,0,1.29,1.03,-0.19,3.48,0,0,0,2,1,0.0,0.0,0.0,93.5,2361.0,5.8,125.0,-1,1-0
260,SL,81.4,3.13,55.06,5.4,5.0,1,0,0.0,1,0,-0.9,-0.35,-0.04,2.11,0,0,0,1,1,387.0,97.8,29.0,80.0,2522.0,5.4,299.0,0,1-0
272,SL,80.5,3.01,54.86,5.26,13.0,0,0,0.0,1,0,-1.23,-0.43,-1.91,1.48,0,0,0,2,8,0.0,0.0,0.0,78.7,2502.0,5.6,297.0,8,1-0
287,SI,91.9,3.23,54.32,5.09,4.0,1,0,1.0,1,0,1.42,0.15,-0.39,2.0,1,0,1,1,7,0.0,0.0,0.0,91.1,2100.0,6.2,91.0,6,1-0
296,SL,80.5,3.24,55.02,5.35,12.0,1,0,0.0,1,0,-0.56,-0.3,1.09,3.59,0,0,0,0,7,0.0,0.0,0.0,79.2,2136.0,5.5,309.0,6,1-0
311,SL,80.3,3.22,54.74,5.38,13.0,0,0,1.0,1,0,-1.59,-0.34,-0.84,1.96,0,0,0,2,5,0.0,0.0,0.0,79.0,2546.0,5.8,288.0,6,1-0
325,SL,81.0,3.08,55.02,5.4,12.0,1,0,0.0,1,0,-0.04,-0.2,1.49,2.9,0,0,1,2,4,0.0,0.0,0.0,79.6,2267.0,5.5,354.0,4,1-0
