,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
12,SL,82.6,2.92,54.51,5.04,13.0,1,0,1.0,1,2,-1.32,-0.47,-1.52,0.52,0,1,1,2,7,0.0,0.0,0.0,81.8,2579.0,6.0,295.0,1,1-2
21,SL,82.3,3.18,54.87,5.06,7.0,1,0,1.0,1,2,-1.42,0.11,-0.59,1.7,0,0,1,1,7,0.0,0.0,0.0,81.0,2753.0,5.6,272.0,1,1-2
22,SL,84.7,2.9,54.56,5.21,4.0,1,0,1.0,1,2,-1.43,-0.15,-0.29,2.03,0,0,1,1,7,3.0,40.7,-38.0,83.8,2678.0,5.9,281.0,1,1-2
27,SL,84.8,2.91,54.49,5.2,13.0,0,0,0.0,1,2,-0.87,0.14,-1.82,2.08,0,0,1,0,7,0.0,0.0,0.0,83.8,2711.0,6.0,271.0,1,1-2
32,SL,82.4,3.16,54.7,5.25,13.0,1,0,0.0,1,2,-1.73,-0.34,-1.22,0.48,0,0,0,0,7,0.0,0.0,0.0,81.2,2771.0,5.8,286.0,1,1-2
56,SL,82.7,2.93,54.8,5.22,13.0,1,0,0.0,1,2,-1.03,-0.39,-1.06,0.39,0,0,0,1,5,0.0,0.0,0.0,81.4,2617.0,5.7,298.0,-1,1-2
98,SI,94.2,3.15,54.55,5.13,12.0,1,0,1.0,1,2,1.25,0.55,1.25,3.61,0,0,0,0,5,0.0,0.0,0.0,93.1,2348.0,6.0,109.0,-2,1-2
106,FF,97.3,2.76,54.13,5.65,1.0,1,0,0.0,1,2,0.82,1.1,-0.52,2.83,0,1,1,1,4,257.0,89.5,51.0,96.6,2457.0,6.4,140.0,0,1-2
114,SL,81.4,2.93,54.83,5.24,13.0,1,0,0.0,1,2,-1.79,-0.16,-0.46,0.6,0,0,0,1,4,0.0,0.0,0.0,80.1,2544.0,5.7,280.0,0,1-2
127,FF,94.3,3.07,54.22,5.52,1.0,1,0,1.0,1,2,0.83,1.24,-0.57,3.04,0,0,0,0,3,0.0,0.0,0.0,93.4,2359.0,6.3,143.0,-1,1-2
135,SL,81.8,2.99,54.82,5.3,13.0,0,0,0.0,1,2,-2.07,-0.3,-1.55,0.93,0,0,1,2,2,0.0,0.0,0.0,80.3,2515.0,5.7,283.0,-1,1-2
145,FF,95.3,3.19,54.33,5.11,11.0,1,0,0.0,1,2,0.8,0.81,-1.34,3.55,0,0,1,0,2,0.0,0.0,0.0,94.7,2286.0,6.2,131.0,-1,1-2
146,SL,83.0,2.83,54.56,5.34,13.0,1,0,1.0,1,2,-0.98,-0.58,-0.56,1.31,0,0,1,0,2,205.0,102.7,11.0,82.2,2528.0,5.9,307.0,-1,1-2
150,SL,81.8,3.15,54.79,5.2,8.0,0,0,0.0,1,2,-1.21,-0.35,0.14,1.65,0,0,0,0,2,191.0,93.3,11.0,80.5,2631.0,5.7,293.0,-1,1-2
167,FF,97.5,3.21,54.28,5.12,12.0,1,0,0.0,1,2,0.75,1.28,0.99,4.32,0,0,0,1,1,0.0,0.0,0.0,96.9,2393.0,6.2,147.0,0,1-2
173,FF,97.5,3.03,54.27,5.43,11.0,1,0,0.0,1,2,0.89,1.01,-1.04,2.67,0,0,0,0,1,0.0,0.0,0.0,97.0,2442.0,6.2,135.0,0,1-2
190,FF,98.6,2.95,54.16,5.46,6.0,1,0,1.0,1,2,1.29,1.33,0.28,2.45,0,0,0,0,5,0.0,0.0,0.0,98.0,2594.0,6.3,133.0,-2,1-2
204,CH,88.8,3.21,54.2,4.87,9.0,1,0,1.0,1,2,1.46,-0.16,0.7,1.21,0,0,1,2,3,0.0,0.0,0.0,88.8,1856.0,6.3,79.0,-1,1-2
221,FF,96.9,3.22,54.28,5.28,12.0,1,0,0.0,1,2,1.17,1.0,0.86,4.59,0,0,0,0,3,0.0,0.0,0.0,96.6,2575.0,6.2,127.0,-1,1-2
256,FF,96.1,3.08,54.43,5.14,11.0,1,0,0.0,1,2,1.28,1.0,-1.26,3.63,0,0,0,1,1,0.0,0.0,0.0,95.4,2447.0,6.1,124.0,-1,1-2
265,FF,97.8,3.23,54.45,5.26,12.0,1,0,0.0,1,2,1.24,1.12,0.15,4.29,0,0,0,0,1,0.0,0.0,0.0,97.1,2507.0,6.0,129.0,0,1-2
275,SL,83.4,3.02,54.85,5.22,13.0,1,0,0.0,1,2,-1.22,-0.29,-1.03,0.5,0,0,0,1,8,0.0,0.0,0.0,82.2,2512.0,5.7,290.0,8,1-2
276,FF,99.0,3.19,54.42,5.5,2.0,1,0,1.0,1,2,0.98,1.53,-0.07,2.97,0,0,0,1,8,265.0,78.6,37.0,97.5,2476.0,6.1,145.0,8,1-2
281,SL,82.7,3.16,54.87,5.35,11.0,1,0,1.0,1,2,-0.85,-0.12,-0.92,2.71,1,0,1,2,7,0.0,0.0,0.0,80.8,2484.0,5.6,289.0,6,1-2
285,SL,83.7,3.12,54.75,5.29,13.0,1,0,1.0,1,2,-1.33,-0.15,-1.54,0.51,1,0,1,1,7,0.0,0.0,0.0,82.1,2437.0,5.8,283.0,6,1-2
290,FF,97.0,3.24,54.45,5.05,1.0,1,0,1.0,1,2,1.14,1.11,-0.44,3.5,0,1,0,0,7,0.0,0.0,0.0,96.2,2340.0,6.1,131.0,6,1-2
306,FF,96.2,3.04,54.53,5.59,11.0,1,0,0.0,1,2,1.39,1.08,-1.69,2.57,0,0,0,0,6,0.0,0.0,0.0,94.6,2398.0,6.0,125.0,6,1-2
316,FF,97.5,3.07,54.62,5.17,1.0,1,0,0.0,1,2,0.94,0.9,-0.67,3.31,0,0,0,0,5,340.0,87.8,31.0,96.2,2422.0,5.9,130.0,6,1-2
331,CH,89.6,3.22,54.4,5.06,14.0,1,0,0.0,1,2,2.0,0.29,0.63,1.4,0,0,0,1,4,0.0,0.0,0.0,88.8,2245.0,6.1,94.0,4,1-2
332,FF,96.5,3.22,54.65,5.27,12.0,1,0,1.0,1,2,1.19,0.97,0.3,4.48,0,0,0,1,4,15.0,39.8,-11.0,95.2,2434.0,5.9,126.0,4,1-2
337,SL,80.5,2.95,54.68,5.36,14.0,1,0,0.0,1,2,-0.96,-0.8,0.46,0.92,0,0,0,0,4,0.0,0.0,0.0,79.7,2310.0,5.8,315.0,4,1-2
341,SL,82.4,3.08,55.1,5.45,7.0,0,0,1.0,1,2,-1.31,-0.38,-0.7,1.75,0,0,0,2,3,0.0,0.0,0.0,80.3,2647.0,5.4,293.0,0,1-2
342,FF,97.1,3.13,54.8,5.38,2.0,0,0,1.0,1,2,1.02,0.8,-0.01,3.54,0,0,0,2,3,131.0,66.8,69.0,95.4,2401.0,5.7,124.0,0,1-2
350,FF,97.7,3.1,54.69,5.42,4.0,0,0,1.0,1,2,1.18,1.01,-0.82,2.91,0,0,0,0,3,0.0,0.0,0.0,96.0,2366.0,5.8,127.0,0,1-2
354,FF,97.4,3.23,54.54,5.27,11.0,1,0,0.0,1,2,1.61,1.03,-0.88,2.88,0,0,1,1,2,27.0,69.0,-3.0,96.1,2476.0,6.0,120.0,0,1-2
365,FF,95.4,3.0,54.81,5.35,11.0,1,0,0.0,1,2,0.97,0.95,-0.44,4.69,0,0,0,0,2,0.0,0.0,0.0,94.2,2304.0,5.7,131.0,0,1-2
371,FF,96.9,3.06,54.63,5.39,12.0,1,0,1.0,1,2,1.12,1.23,0.0,4.42,0,0,0,1,1,0.0,0.0,0.0,95.1,2436.0,5.9,134.0,0,1-2
372,SL,82.9,3.1,55.19,5.42,13.0,1,0,1.0,1,2,-0.88,-0.23,-1.52,1.76,0,0,0,1,1,202.0,103.5,12.0,80.5,2449.0,5.3,295.0,0,1-2
382,FF,96.9,3.34,54.15,5.58,12.0,1,0,0.0,1,2,0.86,1.04,1.36,5.01,0,0,0,2,6,0.0,0.0,0.0,96.6,2299.0,6.4,137.0,-2,1-2
401,FF,94.0,3.42,54.32,5.51,12.0,1,0,0.0,1,2,1.05,1.17,0.64,4.53,0,0,0,1,5,0.0,0.0,0.0,93.1,2261.0,6.2,134.0,-1,1-2
405,SL,80.5,3.37,54.89,5.41,7.0,0,0,0.0,1,2,-1.65,-0.07,-0.68,2.1,0,0,0,0,5,259.0,74.8,31.0,78.9,2407.0,5.6,278.0,-1,1-2
422,SL,81.2,3.28,54.84,5.32,12.0,1,0,0.0,1,2,-1.15,-0.71,1.0,2.44,0,0,1,0,4,262.0,82.6,41.0,79.8,2330.0,5.7,308.0,1,1-2
436,SL,80.3,3.21,54.78,5.46,8.0,1,0,1.0,1,2,-1.58,-0.41,-0.07,2.35,0,0,0,1,3,0.0,0.0,0.0,79.0,2325.0,5.7,290.0,0,1-2
441,SL,79.2,3.36,55.34,5.46,14.0,0,0,0.0,1,2,-1.94,-0.26,0.28,1.13,0,0,0,0,3,0.0,0.0,0.0,76.4,2487.0,5.2,284.0,0,1-2
448,FF,95.3,3.25,54.39,5.54,1.0,1,0,1.0,1,2,1.03,0.83,-0.32,3.37,0,0,0,1,2,0.0,0.0,0.0,94.5,2248.0,6.1,125.0,0,1-2
482,SL,82.1,3.11,55.1,5.17,7.0,0,0,0.0,1,2,-1.02,-0.25,-0.3,1.47,1,0,1,1,6,0.0,0.0,0.0,80.6,2535.0,5.4,291.0,9,1-2
511,SL,81.2,3.26,54.98,5.39,7.0,1,0,0.0,1,2,-1.29,-0.58,-0.79,1.81,0,0,0,1,5,0.0,0.0,0.0,79.8,2429.0,5.5,300.0,9,1-2
512,CH,84.8,3.3,54.72,5.13,14.0,1,0,1.0,1,2,1.74,0.55,1.01,2.35,0,0,0,1,5,0.0,0.0,0.0,83.6,2073.0,5.8,103.0,9,1-2
528,CH,87.3,3.32,54.76,5.16,14.0,1,0,0.0,1,2,1.53,0.08,1.88,2.22,0,0,0,0,4,0.0,0.0,0.0,86.0,2107.0,5.7,87.0,9,1-2
532,CH,87.1,3.3,54.54,5.21,14.0,1,0,1.0,1,2,1.51,-0.04,1.21,1.21,0,0,0,2,3,0.0,0.0,0.0,86.4,2061.0,6.0,83.0,8,1-2
558,SL,80.9,3.18,54.79,5.34,13.0,0,0,0.0,1,2,-1.26,0.13,-2.41,1.12,0,0,1,2,1,0.0,0.0,0.0,79.5,2589.0,5.7,271.0,0,1-2
564,SL,81.6,3.2,55.01,5.36,13.0,1,0,1.0,1,2,-1.21,-0.18,-0.15,1.2,0,0,0,1,1,0.0,0.0,0.0,80.2,2323.0,5.5,285.0,0,1-2
570,SL,81.6,3.15,54.85,5.41,13.0,0,0,0.0,1,2,-1.32,-0.25,-2.24,0.74,0,0,0,0,1,0.0,0.0,0.0,80.0,2452.0,5.7,287.0,0,1-2
577,SL,80.8,2.98,54.83,5.62,12.0,1,0,0.0,1,2,-1.01,0.45,2.17,3.69,0,0,0,1,5,0.0,0.0,0.0,79.6,2334.0,5.7,255.0,-3,1-2
587,FF,95.9,3.11,53.91,5.58,1.0,1,0,0.0,1,2,1.41,1.48,-0.71,2.84,0,1,0,2,4,8.0,64.5,-18.0,95.7,2369.0,6.6,134.0,-3,1-2
588,SL,82.6,2.92,54.78,5.35,7.0,1,0,1.0,1,2,-0.71,0.21,-0.28,1.72,0,1,0,2,4,0.0,0.0,0.0,81.6,2381.0,5.7,265.0,-3,1-2
595,FF,95.1,3.16,54.48,5.18,11.0,0,0,0.0,1,2,1.09,1.47,-0.93,3.73,0,0,1,1,4,0.0,0.0,0.0,94.0,2302.0,6.0,141.0,-3,1-2
603,FF,96.9,2.97,54.13,5.65,13.0,0,0,0.0,1,2,1.18,1.71,-0.98,2.56,0,0,0,1,4,0.0,0.0,0.0,96.0,2449.0,6.4,143.0,-3,1-2
609,FF,95.6,2.88,54.5,5.66,11.0,1,0,0.0,1,2,1.2,1.45,-0.71,4.5,0,0,0,1,4,0.0,0.0,0.0,94.6,2322.0,6.0,138.0,-2,1-2
618,FF,93.6,3.19,54.57,5.44,11.0,1,0,0.0,1,2,1.33,1.62,-0.26,4.66,0,0,0,1,4,0.0,0.0,0.0,91.7,2397.0,5.9,138.0,-1,1-2
624,SL,82.7,3.04,54.94,5.47,14.0,1,0,0.0,1,2,-0.86,0.17,1.26,2.53,0,0,0,2,3,0.0,0.0,0.0,81.5,2496.0,5.6,269.0,-1,1-2
625,FF,95.6,3.07,54.67,5.57,12.0,1,0,1.0,1,2,1.19,1.75,0.13,4.11,0,0,0,2,3,142.0,83.1,11.0,94.1,2312.0,5.8,144.0,-1,1-2
629,SL,81.8,3.09,54.52,5.39,13.0,1,0,1.0,1,2,-0.9,-0.58,-0.69,0.12,0,0,0,1,3,0.0,0.0,0.0,80.6,2318.0,6.0,310.0,-1,1-2
659,FF,98.0,3.05,53.96,5.54,3.0,1,0,1.0,1,2,1.16,1.12,0.43,3.69,1,1,0,2,1,0.0,0.0,0.0,98.3,2375.0,6.5,131.0,0,1-2
663,FF,96.8,3.08,54.17,5.37,3.0,1,0,1.0,1,2,0.95,1.47,0.54,3.29,1,1,0,1,1,0.0,0.0,0.0,96.6,2292.0,6.3,145.0,0,1-2
664,FF,97.4,3.1,54.35,5.36,2.0,1,0,1.0,1,2,1.04,1.72,0.23,3.55,1,1,0,1,1,191.0,75.5,62.0,95.8,2401.0,6.1,147.0,0,1-2
670,FF,97.8,2.98,54.72,5.77,12.0,1,0,0.0,1,2,1.07,1.8,0.16,4.07,0,0,1,1,1,0.0,0.0,0.0,95.7,2465.0,5.8,147.0,0,1-2
679,SL,80.4,3.11,55.15,5.3,14.0,0,0,0.0,1,2,-1.56,0.24,1.02,1.68,0,0,0,0,1,117.0,67.4,11.0,78.5,2520.0,5.3,268.0,0,1-2
689,SL,80.2,3.16,54.82,5.43,5.0,1,0,1.0,1,2,-1.21,-0.41,0.09,2.63,0,0,0,2,7,0.0,0.0,0.0,78.8,2412.0,5.7,296.0,2,1-2
