,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
69,FF,96.3,3.13,54.35,5.21,4.0,1,0,1.0,2,0,1.52,1.03,-0.48,2.64,0,0,0,1,4,0.0,0.0,0.0,95.7,2501.0,6.1,121.0,-1,2-0
79,SL,80.1,3.02,55.16,5.2,13.0,0,0,1.0,2,0,-1.89,-0.4,-1.96,1.53,0,1,0,0,6,0.0,0.0,0.0,78.2,2573.0,5.3,287.0,-3,2-0
95,CH,88.4,3.11,54.2,4.89,12.0,1,0,0.0,2,0,1.6,-0.14,2.53,2.64,0,0,0,1,5,0.0,0.0,0.0,88.0,2049.0,6.3,80.0,-2,2-0
154,CH,90.8,3.22,54.13,5.07,8.0,1,0,0.0,2,0,1.52,0.14,0.11,1.53,0,0,0,2,1,241.0,71.4,35.0,90.4,1954.0,6.4,90.0,-2,2-0
271,SI,96.2,3.46,54.61,5.26,14.0,0,0,1.0,2,0,1.92,1.01,1.3,2.53,0,0,0,2,8,6.0,65.6,-25.0,94.9,2333.0,5.9,115.0,8,2-0
295,SI,96.3,3.24,54.7,5.25,2.0,1,0,1.0,2,0,1.39,0.36,-0.07,2.96,0,0,0,0,7,189.0,76.2,26.0,95.1,2313.0,5.8,100.0,6,2-0
324,CH,89.3,3.15,54.53,5.01,13.0,1,0,0.0,2,0,1.48,0.38,-0.35,1.21,0,0,1,2,4,0.0,0.0,0.0,88.4,2132.0,6.0,99.0,4,2-0
417,CH,86.4,3.26,54.21,5.09,13.0,1,0,0.0,2,0,1.37,0.41,-0.59,1.25,0,0,1,1,4,0.0,0.0,0.0,85.9,1984.0,6.3,101.0,-1,2-0
430,CH,86.3,3.48,54.49,5.18,5.0,1,0,1.0,2,0,1.45,0.34,0.03,2.46,0,0,0,0,4,0.0,0.0,0.0,85.6,2001.0,6.0,98.0,1,2-0
463,CH,88.3,3.38,54.14,5.08,13.0,1,0,0.0,2,0,1.25,-0.1,-0.11,0.98,0,1,1,1,1,0.0,0.0,0.0,87.8,2112.0,6.4,79.0,0,2-0
468,SI,98.0,3.49,54.1,5.09,1.0,1,0,1.0,2,0,1.38,0.78,-0.38,2.92,0,0,1,1,1,0.0,0.0,0.0,97.6,2330.0,6.4,116.0,0,2-0
