,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
2587,FF,94.9,3.38,54.59,5.64,6.0,0,0,0.0,1,1,1.43,1.01,0.48,2.57,0,1,0,1,5,118.0,96.8,7.0,93.8,2346.0,5.9,122.0,-1,1-1
2592,FF,93.3,3.33,54.8,5.73,7.0,1,0,1.0,1,1,1.07,1.07,-0.57,2.1,0,0,0,1,5,0.0,0.0,0.0,91.8,2310.0,5.7,131.0,0,1-1
2603,FF,96.8,3.37,54.47,5.53,5.0,1,0,1.0,1,1,1.16,1.11,0.04,2.27,0,0,0,2,4,177.0,90.3,8.0,96.0,2367.0,6.0,130.0,0,1-1
2620,SL,76.8,3.3,55.49,5.59,12.0,1,0,1.0,1,1,-0.78,-0.25,0.94,2.68,0,0,0,2,3,0.0,0.0,0.0,75.1,2159.0,5.0,299.0,0,1-1
2629,FF,91.4,3.42,54.91,5.73,13.0,1,0,0.0,1,1,1.34,0.99,-1.06,2.54,0,0,0,0,3,226.0,66.6,28.0,89.6,2146.0,5.6,123.0,0,1-1
2634,FF,95.1,3.47,54.7,5.55,1.0,1,0,1.0,1,1,1.3,0.98,-0.47,3.37,0,0,0,2,2,0.0,0.0,0.0,93.5,2289.0,5.8,123.0,0,1-1
2649,FF,96.3,3.31,54.67,5.72,4.0,1,0,1.0,1,1,1.38,0.88,-0.35,2.63,0,0,0,0,1,0.0,0.0,0.0,95.2,2412.0,5.8,119.0,0,1-1
2658,FF,93.9,3.22,54.44,5.34,3.0,1,0,1.0,1,1,1.24,1.25,0.51,3.67,0,0,0,1,7,0.0,0.0,0.0,93.0,2322.0,6.1,132.0,0,1-1
2668,FF,96.3,3.22,54.27,5.66,5.0,1,0,1.0,1,1,1.25,1.58,0.08,2.62,1,1,0,2,6,185.0,75.4,29.0,95.5,2265.0,6.2,139.0,0,1-1
2675,SL,81.1,3.22,55.14,5.42,8.0,1,0,1.0,1,1,-0.76,-0.54,0.19,1.72,1,1,0,1,6,0.0,0.0,0.0,79.6,2343.0,5.4,312.0,0,1-1
2679,FF,92.5,3.11,54.48,5.09,5.0,1,0,0.0,1,1,0.99,0.68,-0.22,2.47,0,0,1,1,6,226.0,87.8,15.0,92.0,2116.0,6.0,120.0,1,1-1
2701,FF,96.4,3.37,54.56,5.25,2.0,1,0,1.0,1,1,1.16,0.95,-0.09,3.21,1,0,0,1,5,0.0,0.0,0.0,95.5,2335.0,5.9,126.0,1,1-1
2706,CH,83.7,3.19,54.44,5.14,13.0,1,0,0.0,1,1,1.36,-0.02,-0.94,1.77,0,0,1,1,5,0.0,0.0,0.0,83.0,1823.0,6.1,83.0,2,1-1
2718,SI,91.6,3.3,54.82,5.33,4.0,1,0,1.0,1,1,1.4,0.77,-0.53,2.78,0,0,0,2,4,131.0,77.6,14.0,90.1,2215.0,5.7,114.0,2,1-1
2730,FF,92.2,3.27,54.58,5.4,2.0,1,0,1.0,1,1,1.07,0.8,-0.15,3.4,0,1,0,2,3,0.0,0.0,0.0,91.4,2306.0,5.9,122.0,0,1-1
2737,FF,94.3,3.3,54.7,5.52,6.0,1,0,1.0,1,1,1.57,1.12,0.65,2.46,0,1,0,0,3,0.0,0.0,0.0,92.9,2320.0,5.8,122.0,0,1-1
2740,FF,92.0,3.46,54.77,5.52,5.0,1,0,0.0,1,1,1.45,1.13,-0.23,2.58,0,0,0,0,3,328.0,109.8,18.0,90.3,2242.0,5.7,125.0,0,1-1
2752,FF,90.2,3.29,54.78,5.39,5.0,1,0,0.0,1,1,1.36,0.98,-0.04,2.79,0,0,0,0,2,125.0,86.6,80.0,89.0,2307.0,5.7,122.0,0,1-1
2772,SL,77.9,2.72,54.69,5.77,12.0,1,0,0.0,1,1,-1.02,-0.64,1.58,3.52,0,0,0,1,7,0.0,0.0,0.0,76.7,2281.0,5.8,309.0,3,1-1
2778,CH,84.4,2.86,53.82,5.47,6.0,1,0,1.0,1,1,1.34,0.42,0.61,2.59,0,0,1,2,6,0.0,0.0,0.0,85.1,1870.0,6.7,102.0,3,1-1
2804,CH,86.2,2.81,53.49,5.53,13.0,1,0,0.0,1,1,1.45,0.37,-0.82,0.34,0,0,0,2,5,0.0,0.0,0.0,87.0,1860.0,7.0,100.0,1,1-1
2834,SL,77.9,2.75,54.33,5.72,12.0,1,0,0.0,1,1,-1.19,0.05,0.86,3.4,0,0,0,1,3,0.0,0.0,0.0,77.2,2381.0,6.2,277.0,-1,1-1
2839,SL,77.5,2.67,54.31,5.8,14.0,0,0,0.0,1,1,-1.47,-0.42,1.32,2.46,0,0,0,0,3,0.0,0.0,0.0,77.0,2323.0,6.2,292.0,-1,1-1
2844,SL,77.9,2.79,54.26,5.71,8.0,1,0,1.0,1,1,-0.78,-0.09,-0.01,1.98,0,0,0,2,2,0.0,0.0,0.0,77.3,2171.0,6.2,290.0,-1,1-1
2853,CH,83.5,2.84,54.04,5.34,8.0,0,0,0.0,1,1,1.4,0.58,0.01,2.15,0,0,0,1,2,393.0,107.1,27.0,83.5,1957.0,6.5,107.0,0,1-1
2859,SL,77.9,2.79,54.2,5.82,12.0,1,0,0.0,1,1,-0.79,-0.45,1.18,3.29,0,0,0,0,2,0.0,0.0,0.0,77.5,2237.0,6.3,309.0,0,1-1
2876,FF,94.5,3.31,54.97,5.53,5.0,1,0,0.0,1,1,1.31,1.19,0.07,3.06,0,0,0,2,6,346.0,104.6,43.0,92.6,2265.0,5.5,129.0,2,1-1
2883,CH,83.4,3.32,54.92,5.28,6.0,1,0,1.0,1,1,1.51,1.2,0.29,2.46,0,0,0,0,6,199.0,74.1,58.0,82.0,2033.0,5.6,125.0,2,1-1
2906,SL,81.5,3.19,55.28,5.34,6.0,1,0,1.0,1,1,-1.12,0.18,0.34,2.66,1,0,1,1,5,0.0,0.0,0.0,79.5,2357.0,5.2,270.0,3,1-1
2919,FF,94.5,3.33,54.68,5.31,12.0,0,0,0.0,1,1,1.7,1.17,1.1,2.73,0,0,1,0,5,188.0,67.1,26.0,92.9,2282.0,5.8,121.0,4,1-1
2928,SL,78.4,3.23,55.47,5.58,14.0,1,0,0.0,1,1,-0.94,0.08,0.97,1.63,0,0,0,2,4,0.0,0.0,0.0,76.3,2422.0,5.0,277.0,3,1-1
2954,SL,77.1,3.14,55.25,5.64,8.0,1,0,1.0,1,1,-0.51,0.21,-0.24,1.77,0,0,0,0,3,0.0,0.0,0.0,74.7,2336.0,5.2,271.0,3,1-1
2961,FF,94.9,3.35,54.44,5.54,3.0,1,0,0.0,1,1,1.44,1.58,0.46,3.08,0,0,0,2,2,350.0,103.1,23.0,93.6,2393.0,6.1,135.0,3,1-1
2970,SL,77.4,3.32,55.56,5.58,5.0,1,0,1.0,1,1,-0.82,0.44,0.24,2.35,0,0,0,0,2,168.0,63.0,46.0,75.0,2182.0,4.9,253.0,3,1-1
2974,FF,95.2,3.26,54.61,5.52,12.0,1,0,1.0,1,1,1.08,1.71,0.15,3.95,0,0,0,2,1,0.0,0.0,0.0,93.5,2352.0,5.9,145.0,3,1-1
3003,CH,86.3,3.33,54.36,5.2,14.0,1,0,1.0,1,1,1.45,0.77,0.91,2.26,0,0,0,0,8,7.0,38.8,-16.0,85.9,2002.0,6.1,113.0,3,1-1
3010,CH,88.5,3.36,54.55,5.12,14.0,1,0,0.0,1,1,1.56,0.32,0.69,0.94,0,0,1,2,7,0.0,0.0,0.0,87.5,2007.0,6.0,97.0,1,1-1
3019,SL,81.5,3.22,54.98,5.58,13.0,1,0,1.0,1,1,-1.32,-0.35,-0.95,2.36,0,0,0,0,7,0.0,0.0,0.0,79.9,2635.0,5.5,291.0,1,1-1
3029,SL,78.5,3.1,54.92,5.49,4.0,1,0,1.0,1,1,-1.19,-0.02,-0.32,2.67,0,0,0,1,6,0.0,0.0,0.0,77.4,2433.0,5.6,279.0,1,1-1
3066,CH,87.2,3.19,54.28,5.17,6.0,1,0,0.0,1,1,1.51,0.68,0.68,2.43,0,0,0,1,3,4.0,66.2,-31.0,86.9,1981.0,6.2,110.0,1,1-1
3071,CH,87.9,3.33,54.38,5.24,14.0,1,0,1.0,1,1,1.61,0.5,1.51,2.73,0,0,0,0,3,0.0,0.0,0.0,87.2,2105.0,6.1,102.0,1,1-1
3074,FF,96.3,3.26,54.47,5.5,4.0,1,0,0.0,1,1,1.05,1.09,-0.55,2.66,0,0,0,2,2,360.0,95.9,22.0,95.8,2374.0,6.0,133.0,0,1-1
