,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
28,FF,96.0,3.14,54.16,5.03,12.0,0,0,0.0,0,2,1.41,0.79,0.16,3.91,0,0,1,0,7,0.0,0.0,0.0,95.7,2540.0,6.3,115.0,1,0-2
36,SL,84.2,2.9,54.64,5.1,13.0,0,0,1.0,0,2,-1.23,-0.06,-1.92,1.05,0,1,0,2,6,0.0,0.0,0.0,83.2,2726.0,5.9,279.0,1,0-2
39,SL,85.2,2.97,54.45,5.23,7.0,1,0,1.0,0,2,-0.91,0.01,-0.29,1.95,0,1,0,1,6,0.0,0.0,0.0,84.7,2771.0,6.0,279.0,1,0-2
40,FF,97.5,3.02,53.96,5.37,5.0,1,0,1.0,0,2,1.25,1.12,0.21,2.53,0,1,0,1,6,0.0,0.0,0.0,97.8,2546.0,6.5,129.0,1,0-2
88,FF,92.9,3.06,54.23,5.13,3.0,1,0,0.0,0,2,0.79,0.85,0.34,3.53,0,0,0,2,5,11.0,101.8,-17.0,92.1,2317.0,6.3,132.0,-3,0-2
99,SL,80.1,2.91,54.76,5.12,13.0,1,0,0.0,0,2,-1.06,-0.33,-0.79,0.83,0,0,0,0,5,0.0,0.0,0.0,79.0,2299.0,5.7,295.0,-2,0-2
115,SL,80.5,3.01,54.81,5.09,13.0,1,0,0.0,0,2,-1.4,-0.5,-0.07,0.45,0,0,0,1,4,0.0,0.0,0.0,79.1,2535.0,5.7,296.0,0,0-2
128,FF,93.3,3.11,54.33,5.48,12.0,1,0,0.0,0,2,0.88,1.15,0.93,4.27,0,0,0,0,3,0.0,0.0,0.0,92.5,2341.0,6.2,139.0,-1,0-2
139,SL,82.3,3.17,54.67,5.37,8.0,1,0,1.0,0,2,-1.51,-0.35,-0.01,1.76,0,0,1,1,2,0.0,0.0,0.0,81.1,2440.0,5.8,289.0,-1,0-2
151,SL,80.8,3.05,54.76,5.14,13.0,0,0,0.0,0,2,-1.31,-0.66,-1.01,0.28,0,0,0,0,2,0.0,0.0,0.0,79.5,2445.0,5.7,302.0,-1,0-2
162,FF,97.3,3.04,54.23,5.08,2.0,1,0,0.0,0,2,1.13,0.88,-0.26,2.78,0,0,0,1,1,389.0,101.2,33.0,96.5,2500.0,6.3,124.0,-1,0-2
168,CH,90.8,3.21,53.97,5.0,14.0,1,0,0.0,0,2,1.25,-0.19,1.07,0.29,0,0,0,1,1,0.0,0.0,0.0,90.7,1959.0,6.5,75.0,0,0-2
174,FF,97.1,3.12,54.39,5.21,1.0,1,0,0.0,0,2,1.07,1.02,-0.35,3.44,0,0,0,0,1,0.0,0.0,0.0,96.4,2535.0,6.1,130.0,0,0-2
208,FF,97.1,3.22,54.26,5.09,12.0,1,0,0.0,0,2,1.3,0.86,0.13,3.62,0,0,0,2,3,178.0,100.4,10.0,97.0,2372.0,6.2,120.0,-1,0-2
209,SL,82.4,3.08,54.94,5.35,9.0,1,0,1.0,0,2,-1.04,-0.21,0.39,1.65,0,0,0,2,3,0.0,0.0,0.0,81.6,2522.0,5.6,288.0,-1,0-2
210,FF,97.4,3.12,54.51,5.53,12.0,1,0,1.0,0,2,1.09,1.23,0.85,4.26,0,0,0,2,3,219.0,81.0,59.0,96.4,2445.0,6.0,135.0,-1,0-2
226,FF,98.8,3.02,54.51,5.41,1.0,1,0,1.0,0,2,1.36,1.07,-0.36,2.92,0,1,1,2,2,0.0,0.0,0.0,97.8,2456.0,6.0,125.0,0,0-2
229,SL,79.8,2.95,54.98,5.25,13.0,1,0,1.0,0,2,-0.75,-0.44,-1.49,1.27,0,1,1,1,2,0.0,0.0,0.0,78.1,2593.0,5.5,309.0,0,0-2
242,SL,81.4,3.0,55.04,5.44,6.0,1,0,0.0,0,2,-0.96,-0.38,0.58,1.93,0,0,0,0,2,21.0,92.4,-3.0,80.0,2607.0,5.5,299.0,0,0-2
