,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
51,SL,80.0,3.06,54.95,5.14,14.0,1,0,1.0,3,2,-1.03,-0.22,1.06,2.59,0,0,0,1,5,0.0,0.0,0.0,79.0,2629.0,5.6,290.0,-1,3-2
52,CH,88.8,3.17,54.28,4.94,3.0,1,0,1.0,3,2,1.5,0.03,0.72,2.8,0,0,0,1,5,168.0,73.5,24.0,88.5,2086.0,6.2,86.0,-1,3-2
53,FF,95.5,3.24,54.37,5.06,4.0,1,0,1.0,3,2,1.31,0.95,-0.34,2.46,0,0,0,1,5,188.0,73.2,30.0,95.3,2504.0,6.1,123.0,-1,3-2
65,FF,96.6,3.27,54.35,5.06,4.0,1,0,0.0,3,2,1.42,1.09,-0.39,2.63,0,0,0,1,4,0.0,80.0,69.0,96.0,2460.0,6.1,125.0,-1,3-2
66,FF,98.3,3.03,54.19,5.43,12.0,1,0,1.0,3,2,1.22,1.21,0.94,2.86,0,0,0,1,4,13.0,43.4,-10.0,98.2,2395.0,6.3,132.0,-1,3-2
82,FF,92.4,3.12,54.05,5.09,5.0,1,0,0.0,3,2,0.99,0.71,0.23,2.49,0,0,0,0,6,198.0,107.2,10.0,92.3,2341.0,6.5,121.0,-3,3-2
92,FF,88.8,3.18,54.35,5.09,9.0,1,0,1.0,3,2,1.42,0.66,0.45,1.73,0,0,0,1,5,0.0,0.0,0.0,87.8,2043.0,6.1,109.0,-2,3-2
112,SL,81.0,3.02,54.55,5.28,7.0,1,0,0.0,3,2,-1.57,-0.51,-0.37,1.55,0,0,0,1,4,337.0,98.3,20.0,80.1,2668.0,6.0,293.0,0,3-2
131,FF,98.7,3.16,54.12,5.32,3.0,0,0,1.0,3,2,0.85,1.26,0.8,3.48,0,1,0,2,2,0.0,0.0,0.0,98.1,2384.0,6.4,143.0,-1,3-2
132,SL,81.1,3.06,54.7,5.24,4.0,0,0,1.0,3,2,-1.67,-0.27,-0.48,2.35,0,1,0,2,2,156.0,69.0,67.0,80.1,2409.0,5.8,284.0,-1,3-2
133,SI,96.8,3.23,54.31,5.09,6.0,0,0,1.0,3,2,1.41,0.32,0.38,2.68,0,1,0,2,2,7.0,87.1,-20.0,96.1,2283.0,6.2,98.0,-1,3-2
142,SI,89.2,3.0,54.29,4.94,12.0,1,0,0.0,3,2,1.28,0.33,1.31,3.05,0,0,1,0,2,374.0,95.7,28.0,88.7,2112.0,6.2,99.0,-1,3-2
171,FF,98.0,3.18,54.1,5.25,7.0,1,0,1.0,3,2,0.97,0.86,-0.56,1.62,0,0,0,0,1,0.0,0.0,0.0,97.4,2454.0,6.4,127.0,0,3-2
198,SL,81.9,2.99,54.87,5.2,13.0,1,0,0.0,3,2,-1.48,-0.26,-1.86,1.28,0,0,0,0,4,0.0,0.0,0.0,80.3,2710.0,5.6,286.0,-1,3-2
213,SL,79.1,3.15,55.05,5.33,6.0,1,0,1.0,3,2,-1.35,-0.58,0.66,1.99,0,0,0,1,3,0.0,0.0,0.0,77.6,2420.0,5.5,299.0,-1,3-2
214,FF,95.9,3.18,54.46,5.43,11.0,1,0,1.0,3,2,1.1,1.11,-0.08,3.63,0,0,0,1,3,197.0,72.0,55.0,95.0,2371.0,6.0,132.0,-1,3-2
232,FF,94.9,3.18,54.54,5.13,12.0,1,0,0.0,3,2,1.11,1.01,1.77,3.12,0,1,0,1,2,0.0,0.0,0.0,94.3,2377.0,6.0,129.0,0,3-2
233,SL,76.8,3.25,55.27,5.28,4.0,1,0,1.0,3,2,-1.21,-0.5,-0.75,2.39,0,1,0,1,2,0.0,0.0,0.0,75.0,2239.0,5.2,299.0,0,3-2
234,FF,97.2,3.04,54.3,5.21,12.0,1,0,1.0,3,2,1.37,0.98,0.02,3.33,0,1,0,1,2,158.0,77.7,19.0,96.7,2420.0,6.2,122.0,0,3-2
249,SL,83.5,3.08,55.04,5.42,12.0,1,0,0.0,3,2,-1.61,-0.09,1.57,2.92,0,0,0,2,1,0.0,0.0,0.0,82.1,2611.0,5.5,279.0,-1,3-2
304,SL,80.7,3.16,55.02,5.42,5.0,1,0,1.0,3,2,-1.17,-0.24,0.16,2.33,0,0,0,0,6,0.0,0.0,0.0,79.2,2439.0,5.5,290.0,6,3-2
320,SL,82.6,3.16,55.11,5.31,5.0,1,0,1.0,3,2,-1.49,-0.19,0.27,2.85,0,0,1,2,4,0.0,0.0,0.0,81.0,2426.0,5.4,283.0,4,3-2
321,SI,98.1,3.09,54.59,5.11,2.0,1,0,1.0,3,2,1.49,0.39,0.11,3.01,0,0,1,2,4,0.0,0.0,0.0,97.0,2298.0,5.9,101.0,4,3-2
328,CH,88.6,3.38,54.58,5.11,6.0,1,0,0.0,3,2,1.86,0.26,0.83,2.42,0,0,0,1,4,18.0,103.4,-6.0,87.7,1970.0,5.9,94.0,4,3-2
329,SL,83.3,3.09,55.08,5.34,13.0,1,0,1.0,3,2,-1.39,-0.27,-1.03,1.98,0,0,0,1,4,5.0,59.0,-33.0,81.5,2517.0,5.4,287.0,4,3-2
380,CH,85.9,3.45,54.05,4.86,8.0,1,0,0.0,3,2,1.35,-0.15,0.18,1.53,0,0,0,2,6,311.0,102.6,13.0,86.2,1909.0,6.5,78.0,-2,3-2
392,SI,95.9,3.41,54.47,5.24,12.0,1,0,1.0,3,2,1.54,0.36,1.58,3.04,0,0,0,0,6,0.0,0.0,0.0,94.8,2134.0,6.0,99.0,-1,3-2
413,SL,80.2,3.25,54.84,5.33,4.0,1,0,1.0,3,2,-1.23,-0.15,-0.3,2.62,0,0,1,1,4,0.0,0.0,0.0,78.3,2354.0,5.7,286.0,-1,3-2
414,FF,97.4,3.3,54.1,5.36,5.0,1,0,1.0,3,2,1.15,1.09,0.05,2.57,0,0,1,1,4,0.0,0.0,0.0,96.5,2438.0,6.4,127.0,-1,3-2
427,SL,78.3,3.43,54.71,5.48,13.0,1,0,0.0,3,2,-1.27,-0.78,-0.38,1.35,0,0,0,0,4,0.0,0.0,0.0,76.8,2248.0,5.8,307.0,1,3-2
452,FF,93.6,3.36,54.41,5.39,5.0,1,0,0.0,3,2,1.14,0.75,0.05,2.4,0,0,0,0,2,180.0,69.0,53.0,92.7,2278.0,6.1,119.0,0,3-2
453,CH,87.7,3.44,54.37,5.13,12.0,1,0,1.0,3,2,1.35,0.34,1.59,2.73,0,0,0,0,2,222.0,74.3,49.0,87.0,1911.0,6.1,98.0,0,3-2
480,SL,81.0,3.26,55.12,5.25,14.0,0,0,1.0,3,2,-1.22,-0.18,1.13,2.27,1,0,1,1,6,0.0,0.0,0.0,79.4,2531.0,5.4,286.0,9,3-2
525,CH,85.5,3.35,54.67,5.15,5.0,1,0,0.0,3,2,1.81,0.69,0.02,2.71,0,0,0,0,4,7.0,83.9,-21.0,83.9,2244.0,5.8,106.0,9,3-2
526,FF,92.1,3.2,54.57,5.41,5.0,1,0,1.0,3,2,1.15,1.15,-0.1,2.64,0,0,0,0,4,169.0,68.0,32.0,91.1,2379.0,5.9,132.0,9,3-2
555,FF,93.1,3.22,54.38,5.38,7.0,0,0,0.0,3,2,1.28,1.23,-0.8,1.89,0,0,1,2,1,0.0,0.0,0.0,92.1,2273.0,6.1,130.0,0,3-2
568,FF,95.8,3.3,54.46,5.4,8.0,0,0,0.0,3,2,1.18,1.04,-0.04,1.76,0,0,0,0,1,299.0,90.0,40.0,94.5,2326.0,6.0,128.0,0,3-2
599,FF,94.4,3.23,54.64,5.13,12.0,0,0,0.0,3,2,0.91,0.64,1.33,3.87,0,0,0,1,4,0.0,0.0,0.0,93.8,2256.0,5.9,120.0,-3,3-2
600,SI,92.8,3.21,54.28,5.14,12.0,0,0,1.0,3,2,1.55,0.48,1.69,2.55,0,0,0,1,4,0.0,0.0,0.0,92.4,2175.0,6.2,103.0,-3,3-2
613,FF,93.2,3.12,54.15,5.37,3.0,1,0,0.0,3,2,1.15,1.71,0.32,2.94,0,0,0,1,4,398.0,104.5,32.0,92.5,2382.0,6.4,144.0,-1,3-2
614,FF,96.1,3.16,54.51,5.66,3.0,1,0,1.0,3,2,1.05,1.47,0.63,3.36,0,0,0,1,4,10.0,49.9,-17.0,95.4,2386.0,6.0,142.0,-1,3-2
615,FF,96.6,3.07,54.38,5.56,5.0,1,0,1.0,3,2,1.31,1.73,-0.18,2.23,0,0,0,1,4,182.0,70.0,56.0,95.3,2439.0,6.1,141.0,-1,3-2
639,FF,98.2,3.07,54.35,5.34,5.0,0,0,0.0,3,2,1.18,1.35,-0.01,2.2,0,0,1,2,2,273.0,93.0,15.0,97.1,2427.0,6.1,136.0,0,3-2
649,SL,80.4,3.11,55.18,5.4,13.0,1,0,0.0,3,2,-1.06,0.64,-1.13,2.36,0,0,0,1,2,0.0,0.0,0.0,78.4,2570.0,5.3,247.0,0,3-2
668,SL,82.1,3.14,55.16,5.43,3.0,1,0,0.0,3,2,-0.78,0.42,0.51,2.73,0,0,1,1,1,37.0,92.1,-2.0,80.2,2472.0,5.3,252.0,0,3-2
717,SL,81.2,3.19,55.1,5.59,6.0,1,0,0.0,3,2,-1.06,0.09,0.37,2.56,0,0,0,0,5,215.0,84.1,55.0,79.7,2305.0,5.4,274.0,0,3-2
718,SL,79.0,3.17,55.03,5.55,12.0,1,0,1.0,3,2,-1.24,-0.13,1.5,2.73,0,0,0,0,5,169.0,67.2,59.0,77.1,2410.0,5.5,284.0,0,3-2
733,FF,96.2,3.22,54.42,5.66,1.0,1,0,0.0,3,2,1.1,1.33,-0.54,3.01,0,0,0,0,4,0.0,80.0,69.0,95.0,2357.0,6.1,138.0,0,3-2
734,FF,95.3,3.28,54.31,5.49,1.0,1,0,1.0,3,2,1.2,0.89,-0.69,3.17,0,0,0,0,4,191.0,96.0,70.0,94.5,2392.0,6.2,123.0,0,3-2
740,SL,79.5,3.13,54.94,5.43,7.0,1,0,1.0,3,2,-1.49,-0.49,-0.31,1.77,0,0,0,2,3,0.0,0.0,0.0,77.2,2407.0,5.6,295.0,0,3-2
741,FF,92.3,2.96,54.51,5.66,2.0,1,0,1.0,3,2,1.07,0.93,0.05,2.85,0,0,0,2,3,203.0,73.8,48.0,91.1,2352.0,6.0,127.0,0,3-2
742,FF,93.5,3.34,54.21,5.16,2.0,1,0,1.0,3,2,1.15,0.62,0.14,2.73,0,0,0,2,3,118.0,77.3,78.0,93.6,2290.0,6.3,114.0,0,3-2
743,CH,88.6,3.28,54.35,5.4,2.0,1,0,1.0,3,2,1.57,0.52,0.05,2.78,0,0,0,2,3,6.0,44.7,-24.0,87.4,2107.0,6.2,103.0,0,3-2
749,FF,97.0,3.1,53.88,5.75,13.0,0,0,1.0,3,2,1.05,1.17,-1.05,1.71,0,0,0,1,3,0.0,0.0,0.0,96.8,2455.0,6.6,135.0,0,3-2
801,SL,77.9,3.16,54.87,5.27,13.0,1,0,0.0,3,2,-0.97,-0.1,-1.46,1.68,0,0,1,1,3,0.0,0.0,0.0,76.7,2153.0,5.6,285.0,-3,3-2
802,CH,85.5,3.14,54.28,5.07,7.0,1,0,1.0,3,2,1.32,0.4,-0.36,2.09,0,0,1,1,3,0.0,0.0,0.0,85.1,1971.0,6.2,101.0,-3,3-2
811,CH,86.3,3.3,54.13,5.14,14.0,1,0,0.0,3,2,1.58,0.35,0.97,1.74,0,0,0,0,3,0.0,0.0,0.0,85.9,1911.0,6.4,97.0,-3,3-2
812,FF,93.2,3.29,54.5,5.38,4.0,1,0,1.0,3,2,1.24,0.95,-0.31,2.62,0,0,0,0,3,167.0,70.2,28.0,92.6,2090.0,6.0,124.0,-3,3-2
