,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
16,FF,99.0,3.01,54.11,5.2,6.0,1,0,0.0,2,2,1.14,1.03,0.38,2.27,0,0,1,2,7,46.0,104.4,0.0,99.1,2575.0,6.4,129.0,1,2-2
26,FF,97.3,3.0,53.94,4.98,2.0,0,0,0.0,2,2,1.55,0.98,-0.13,2.64,0,0,1,0,7,202.0,86.5,59.0,96.9,2608.0,6.6,119.0,1,2-2
31,FF,97.3,3.15,54.24,5.21,3.0,1,0,0.0,2,2,1.23,0.98,0.73,2.89,0,0,0,0,7,180.0,95.7,12.0,97.1,2458.0,6.3,125.0,1,2-2
54,SL,82.4,2.82,54.65,5.23,13.0,1,0,0.0,2,2,-1.34,-0.02,-1.49,1.34,0,0,0,1,5,0.0,0.0,0.0,81.5,2584.0,5.8,277.0,-1,2-2
55,FF,97.8,3.01,54.25,5.43,2.0,1,0,1.0,2,2,1.25,1.07,-0.04,2.96,0,0,0,1,5,3.0,43.0,-49.0,97.6,2450.0,6.2,128.0,-1,2-2
67,SL,84.1,3.11,54.83,5.17,13.0,1,0,0.0,2,2,-1.22,-0.21,-1.13,0.58,0,0,0,1,4,0.0,0.0,0.0,83.1,2723.0,5.7,285.0,-1,2-2
72,FF,99.1,3.02,54.24,5.43,7.0,0,0,1.0,2,2,1.25,1.27,-0.67,1.92,0,0,0,0,4,0.0,0.0,0.0,98.8,2527.0,6.3,133.0,-1,2-2
83,FF,93.8,3.13,54.61,5.19,13.0,1,0,0.0,2,2,1.08,0.72,-1.47,1.77,0,0,0,0,6,0.0,0.0,0.0,92.6,2421.0,5.9,119.0,-3,2-2
113,CH,87.1,3.25,54.64,4.87,14.0,1,0,0.0,2,2,1.4,0.01,1.35,1.44,0,0,0,1,4,0.0,0.0,0.0,86.0,1904.0,5.9,84.0,0,2-2
134,SI,96.2,3.19,54.1,4.98,13.0,0,0,0.0,2,2,1.48,0.12,-0.62,0.95,0,0,1,2,2,0.0,0.0,0.0,96.1,2172.0,6.4,91.0,-1,2-2
143,SI,90.8,3.06,53.94,5.07,8.0,1,0,0.0,2,2,1.21,0.26,-0.13,1.49,0,0,1,0,2,0.0,0.0,0.0,90.8,1821.0,6.6,96.0,-1,2-2
144,FF,96.1,3.15,54.07,5.22,11.0,1,0,1.0,2,2,0.91,0.62,-0.83,2.72,0,0,1,0,2,7.0,53.7,-20.0,96.0,2328.0,6.4,119.0,-1,2-2
157,FF,97.2,3.05,54.15,5.23,3.0,1,0,0.0,2,2,1.18,1.04,0.41,3.63,0,0,0,1,1,327.0,104.9,16.0,96.5,2551.0,6.3,128.0,-2,2-2
165,SL,84.2,3.05,54.61,5.33,7.0,1,0,0.0,2,2,-1.18,-0.09,-0.51,1.9,0,0,0,1,1,400.0,101.5,31.0,83.2,2673.0,5.9,281.0,0,2-2
166,SI,89.5,3.11,54.28,5.1,9.0,1,0,1.0,2,2,1.33,0.6,0.31,1.46,0,0,0,1,1,0.0,0.0,0.0,89.0,2200.0,6.2,110.0,0,2-2
172,SL,81.3,3.17,54.71,5.23,13.0,1,0,0.0,2,2,-1.37,-0.69,-0.69,0.88,0,0,0,0,1,0.0,0.0,0.0,80.2,2565.0,5.8,302.0,0,2-2
220,SL,81.8,3.09,54.87,5.36,9.0,1,0,0.0,2,2,-1.17,-0.6,0.5,1.95,0,0,0,0,3,323.0,90.1,24.0,80.6,2739.0,5.6,303.0,-1,2-2
235,FF,97.4,3.08,54.31,5.18,12.0,1,0,0.0,2,2,1.48,1.1,1.4,3.62,0,1,0,1,2,0.0,0.0,0.0,96.7,2463.0,6.2,124.0,0,2-2
255,FF,97.4,3.27,54.59,5.31,4.0,1,0,1.0,2,2,1.13,0.92,-0.69,2.64,0,0,0,1,1,0.0,0.0,0.0,96.4,2378.0,5.9,125.0,-1,2-2
