,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
3,FF,95.6,2.81,54.18,5.41,11.0,0,0,0.0,0,1,1.27,1.06,-0.98,3.07,0,0,1,1,8,0.0,0.0,0.0,95.2,2399.0,6.3,126.0,0,0-1
6,SL,82.9,3.11,54.78,5.19,7.0,1,0,0.0,0,1,-0.97,-0.36,-0.49,1.8,0,0,0,0,8,55.0,76.6,3.0,81.6,2829.0,5.7,297.0,0,0-1
14,SL,82.1,3.0,54.77,5.2,14.0,1,0,0.0,0,1,-1.29,-0.49,0.71,0.45,0,1,1,2,7,0.0,0.0,0.0,81.0,2606.0,5.7,297.0,1,0-1
19,SL,83.8,3.0,54.73,5.25,14.0,1,0,0.0,0,1,-1.12,-0.33,1.22,2.22,0,0,1,2,7,0.0,0.0,0.0,82.7,2807.0,5.8,294.0,1,0-1
24,SL,81.4,2.84,54.63,5.18,13.0,1,0,0.0,0,1,-1.24,-0.21,-1.73,0.09,0,0,1,1,7,0.0,0.0,0.0,79.9,2601.0,5.9,287.0,1,0-1
29,FF,95.9,2.96,54.18,5.23,1.0,0,0,1.0,0,1,1.34,0.87,-0.64,2.54,0,0,1,0,7,0.0,0.0,0.0,95.8,2418.0,6.3,119.0,1,0-1
34,SL,82.0,3.07,54.53,5.22,13.0,1,0,0.0,0,1,-0.99,-0.14,-1.82,1.89,0,0,0,0,7,0.0,0.0,0.0,81.1,2664.0,6.0,286.0,1,0-1
37,FF,96.8,3.02,54.2,5.23,5.0,0,0,1.0,0,1,1.07,0.98,-0.16,2.12,0,1,0,2,6,248.0,81.7,52.0,96.5,2518.0,6.3,129.0,1,0-1
41,FF,96.4,3.05,54.12,5.16,4.0,1,0,1.0,0,1,1.42,0.72,-0.63,2.55,0,1,0,1,6,255.0,93.8,18.0,96.2,2183.0,6.4,113.0,1,0-1
49,FF,94.9,3.13,54.27,5.13,11.0,1,0,0.0,0,1,1.13,0.97,-1.15,2.64,0,0,0,2,5,0.0,0.0,0.0,94.6,2477.0,6.2,127.0,-1,0-1
61,SL,82.4,2.95,54.9,5.22,14.0,1,0,0.0,0,1,-1.06,-0.19,0.03,1.25,0,0,0,0,5,0.0,0.0,0.0,81.1,2547.0,5.6,288.0,-1,0-1
63,FF,98.2,3.14,54.51,5.22,2.0,0,0,0.0,0,1,1.17,0.94,-0.25,2.56,0,0,0,2,4,13.0,94.0,-10.0,97.5,2512.0,6.0,126.0,-1,0-1
75,SL,81.8,2.96,54.85,5.16,13.0,0,0,0.0,0,1,-1.25,-0.47,-0.69,1.28,0,0,0,0,4,0.0,0.0,0.0,80.7,2527.0,5.7,296.0,-1,0-1
86,FF,92.9,3.05,54.62,5.35,11.0,1,0,0.0,0,1,0.94,1.13,-0.87,2.82,0,0,0,0,6,0.0,0.0,0.0,91.5,2363.0,5.9,136.0,-3,0-1
89,FF,94.8,3.3,54.4,5.24,2.0,1,0,1.0,0,1,0.97,1.19,0.01,3.49,0,0,0,2,5,197.0,71.3,41.0,94.1,2376.0,6.1,138.0,-3,0-1
100,FF,92.1,3.21,54.32,5.12,2.0,1,0,1.0,0,1,0.81,0.77,-0.27,3.23,0,0,0,0,5,0.0,0.0,0.0,91.5,2306.0,6.2,128.0,-2,0-1
110,SI,96.2,3.22,54.12,5.02,9.0,0,0,0.0,0,1,1.23,0.34,0.32,1.94,0,1,0,1,4,299.0,91.5,17.0,96.0,2307.0,6.4,101.0,0,0-1
116,SL,81.1,3.13,54.98,5.31,6.0,1,0,1.0,0,1,-1.03,-0.04,0.31,2.39,0,0,0,1,4,0.0,0.0,0.0,79.6,2533.0,5.5,282.0,0,0-1
120,FF,92.4,3.05,54.13,5.18,11.0,1,0,0.0,0,1,0.83,0.88,-0.93,3.55,0,0,0,0,4,0.0,0.0,0.0,91.9,2242.0,6.4,132.0,0,0-1
124,SL,81.9,3.03,54.53,5.24,13.0,1,0,0.0,0,1,-1.33,-0.28,-0.93,-0.1,0,0,1,1,3,0.0,0.0,0.0,81.0,2637.0,6.0,288.0,-1,0-1
129,FF,92.9,3.12,54.19,5.34,2.0,1,0,1.0,0,1,0.93,1.23,-0.09,3.54,0,0,0,0,3,0.0,0.0,0.0,92.1,2319.0,6.3,139.0,-1,0-1
137,SI,94.3,3.19,54.21,5.07,14.0,0,0,0.0,0,1,1.4,0.36,0.49,1.3,0,0,1,2,2,0.0,0.0,0.0,94.0,2187.0,6.3,100.0,-1,0-1
140,SL,82.8,2.96,54.64,5.28,13.0,1,0,1.0,0,1,-1.12,0.19,-0.04,1.31,0,0,1,1,2,0.0,0.0,0.0,81.8,2558.0,5.9,268.0,-1,0-1
152,SL,80.8,3.13,54.99,5.24,13.0,0,0,1.0,0,1,-1.32,-0.56,-0.99,1.0,0,0,0,0,2,0.0,0.0,0.0,79.1,2453.0,5.5,299.0,-1,0-1
163,SI,93.0,3.27,54.54,4.98,8.0,1,0,1.0,0,1,1.3,0.15,-0.07,1.33,0,0,0,1,1,0.0,0.0,0.0,92.0,2059.0,6.0,91.0,-1,0-1
169,SI,95.6,3.34,54.21,4.97,14.0,1,0,1.0,0,1,1.35,0.22,1.19,1.72,0,0,0,1,1,0.0,0.0,0.0,95.1,2223.0,6.3,94.0,0,0-1
175,SL,81.3,3.11,54.78,5.41,7.0,1,0,1.0,0,1,-1.45,-0.46,-0.53,1.7,0,0,0,0,1,0.0,0.0,0.0,80.0,2483.0,5.7,293.0,0,0-1
182,SI,97.4,3.09,54.39,5.18,6.0,1,0,0.0,0,1,1.74,0.44,0.41,2.55,0,0,0,2,5,10.0,104.9,-14.0,96.9,2449.0,6.1,101.0,-4,0-1
