,pitch_type,release_speed,release_pos_x,release_pos_y,release_pos_z,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,spin_axis,winning_by,count
4,FF,94.9,3.19,54.35,5.12,5.0,0,0,1.0,0,0,1.34,0.91,0.07,2.53,0,0,1,1,8,0.0,0.0,0.0,94.2,2433.0,6.2,120.0,0,0-0
5,FF,95.2,3.14,54.15,5.18,4.0,1,0,0.0,0,0,1.27,1.13,-0.71,2.33,0,0,0,1,8,86.0,72.6,7.0,94.5,2600.0,6.4,128.0,0,0-0
7,SL,82.7,3.1,54.7,5.13,5.0,1,0,1.0,0,0,-1.06,-0.24,-0.23,2.68,0,0,0,0,8,0.0,0.0,0.0,81.6,2726.0,5.8,291.0,0,0-0
11,CH,87.3,3.23,54.43,4.95,12.0,1,0,0.0,0,0,1.62,-0.05,2.07,3.17,0,0,0,0,8,0.0,0.0,0.0,86.4,2008.0,6.1,83.0,1,0-0
15,SL,83.0,3.0,54.73,5.2,14.0,1,0,1.0,0,0,-0.88,-0.42,0.96,2.07,0,1,1,2,7,0.0,0.0,0.0,82.2,2641.0,5.8,303.0,1,0-0
20,FF,95.7,3.17,54.31,5.1,3.0,1,0,1.0,0,0,1.61,0.92,0.47,3.34,0,0,1,2,7,107.0,82.2,9.0,95.0,2461.0,6.2,117.0,1,0-0
25,SL,84.0,2.95,54.62,5.23,13.0,1,0,1.0,0,0,-1.07,-0.17,-0.97,1.02,0,0,1,1,7,0.0,0.0,0.0,82.3,2660.0,5.9,288.0,1,0-0
30,FF,96.3,3.01,54.33,5.06,5.0,0,0,1.0,0,0,1.59,1.0,-0.23,2.44,0,0,1,0,7,0.0,0.0,0.0,95.5,2567.0,6.2,119.0,1,0-0
35,CH,88.3,3.14,53.97,5.04,6.0,1,0,1.0,0,0,1.52,0.15,0.31,2.82,0,0,0,0,7,0.0,0.0,0.0,88.8,2097.0,6.5,91.0,1,0-0
38,SL,80.6,2.93,55.05,5.19,6.0,0,0,1.0,0,0,-1.26,-0.17,0.45,2.52,0,1,0,2,6,0.0,0.0,0.0,79.7,2571.0,5.4,284.0,1,0-0
42,FF,95.1,3.08,54.35,5.13,13.0,1,0,1.0,0,0,1.43,0.98,-0.88,2.29,0,1,0,1,6,0.0,0.0,0.0,94.3,2503.0,6.2,121.0,1,0-0
45,FF,93.4,3.08,54.25,5.18,11.0,1,0,0.0,0,0,1.24,1.05,-1.63,3.07,0,0,0,1,6,0.0,0.0,0.0,92.6,2422.0,6.2,127.0,1,0-0
46,CH,87.7,3.16,54.31,4.99,8.0,1,0,0.0,0,0,1.76,0.47,0.01,1.61,0,0,0,0,6,237.0,85.3,54.0,86.8,2069.0,6.2,100.0,1,0-0
50,FF,94.7,3.1,54.13,5.07,4.0,1,0,1.0,0,0,1.01,0.9,-0.7,2.91,0,0,0,2,5,0.0,0.0,0.0,94.6,2383.0,6.4,128.0,-1,0-0
59,CH,88.9,3.06,54.31,4.98,14.0,1,0,0.0,0,0,1.53,0.07,1.53,1.22,0,0,0,1,5,0.0,0.0,0.0,88.6,2077.0,6.2,88.0,-1,0-0
